Algorithm,Framework,"Signal Type Combination","Classification Time in seconds"
KNN,WEKA,"WIFI,BLUETOOTH,GSM",0.024
KNN,WEKA,"WIFI,BLUETOOTH",0.02
KNN,WEKA,"WIFI,GSM",0.009
KNN,WEKA,"BLUETOOTH,GSM",0.016
KNN,WEKA,WIFI,0.007
KNN,WEKA,BLUETOOTH,0.014
KNN,WEKA,GSM,0.002
NB,WEKA,"WIFI,BLUETOOTH,GSM",0.019
NB,WEKA,"WIFI,BLUETOOTH",0.018
NB,WEKA,"WIFI,GSM",0.008
NB,WEKA,"BLUETOOTH,GSM",0.014
NB,WEKA,WIFI,0.006
NB,WEKA,BLUETOOTH,0.012
NB,WEKA,GSM,0.002
RF,WEKA,"WIFI,BLUETOOTH,GSM",0.023
RF,WEKA,"WIFI,BLUETOOTH",0.019
RF,WEKA,"WIFI,GSM",0.008
RF,WEKA,"BLUETOOTH,GSM",0.027
RF,WEKA,WIFI,0.006
RF,WEKA,BLUETOOTH,0.039
RF,WEKA,GSM,0.005
KNN,JAVAML,"WIFI,BLUETOOTH,GSM",0.167
KNN,JAVAML,"WIFI,BLUETOOTH",0.171
KNN,JAVAML,"WIFI,GSM",0.045
KNN,JAVAML,"BLUETOOTH,GSM",0.15
KNN,JAVAML,WIFI,0.035
KNN,JAVAML,BLUETOOTH,0.129
KNN,JAVAML,GSM,0.013
NB,JAVAML,"WIFI,BLUETOOTH,GSM",0.004
NB,JAVAML,"WIFI,BLUETOOTH",0.003
NB,JAVAML,"WIFI,GSM",0.001
NB,JAVAML,"BLUETOOTH,GSM",0.003
NB,JAVAML,WIFI,0.001
NB,JAVAML,BLUETOOTH,0.001
NB,JAVAML,GSM,0
RF,JAVAML,"WIFI,BLUETOOTH,GSM",0
RF,JAVAML,"WIFI,BLUETOOTH",0
RF,JAVAML,"WIFI,GSM",0
RF,JAVAML,"BLUETOOTH,GSM",0
RF,JAVAML,WIFI,0
RF,JAVAML,BLUETOOTH,0.001
RF,JAVAML,GSM,0
KNN,JSAT,"WIFI,BLUETOOTH,GSM",0.022
KNN,JSAT,"WIFI,BLUETOOTH",0.025
KNN,JSAT,"WIFI,GSM",0.009
KNN,JSAT,"BLUETOOTH,GSM",0.016
KNN,JSAT,WIFI,0.007
KNN,JSAT,BLUETOOTH,0.013
KNN,JSAT,GSM,0.003
NB,JSAT,"WIFI,BLUETOOTH,GSM",0.023
NB,JSAT,"WIFI,BLUETOOTH",0.02
NB,JSAT,"WIFI,GSM",0.008
NB,JSAT,"BLUETOOTH,GSM",0.016
NB,JSAT,WIFI,0.014
NB,JSAT,BLUETOOTH,0.013
NB,JSAT,GSM,0.003
RF,JSAT,"WIFI,BLUETOOTH,GSM",0.022
RF,JSAT,"WIFI,BLUETOOTH",0.021
RF,JSAT,"WIFI,GSM",0.008
RF,JSAT,"BLUETOOTH,GSM",0.016
RF,JSAT,WIFI,0.008
RF,JSAT,BLUETOOTH,0.014
RF,JSAT,GSM,0.003
