framework,algorithm,p,signal_types
WEKA,NB,2.7717836598836145,"WIFI,BLUETOOTH"
JSAT,NB,2.8328974819349932,"WIFI,BLUETOOTH"
JSAT,NB,2.8538637272582905,"WIFI,BLUETOOTH,GSM"
JAVAML,KNN,3.1157593360559654,WIFI
WEKA,RF,3.2779020437454167,"WIFI,GSM"
WEKA,NB,3.3426481040905243,"WIFI,GSM"
WEKA,NB,3.438426267790389,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,3.4721763451922576,WIFI
JSAT,KNN,3.4721763451922576,WIFI
WEKA,RF,3.5147016186582962,"WIFI,BLUETOOTH,GSM"
WEKA,NB,3.5206587729250978,WIFI
JSAT,RF,3.523581817021879,"WIFI,GSM"
JSAT,RF,3.6026948627252984,BLUETOOTH
JSAT,RF,3.6231194312111583,"WIFI,BLUETOOTH"
WEKA,RF,3.6468261477497594,"WIFI,BLUETOOTH"
JAVAML,RF,3.678461929232132,"WIFI,BLUETOOTH,GSM"
JSAT,NB,3.7123007412282107,"WIFI,GSM"
JAVAML,RF,3.79101842827829,WIFI
WEKA,RF,3.804172520534525,"BLUETOOTH,GSM"
JSAT,RF,3.8392806086888336,"WIFI,BLUETOOTH,GSM"
JSAT,NB,4.0024721748008005,BLUETOOTH
JAVAML,KNN,4.019063574473155,"WIFI,BLUETOOTH"
WEKA,KNN,4.132530451094161,"WIFI,BLUETOOTH"
JAVAML,NB,4.229968024724134,BLUETOOTH
WEKA,RF,4.282982755686718,WIFI
JAVAML,KNN,4.398449424978955,BLUETOOTH
JAVAML,RF,4.440323043028127,"WIFI,BLUETOOTH"
JSAT,NB,4.488807181848421,WIFI
JSAT,RF,4.586520857079799,WIFI
JAVAML,NB,4.638185135716655,"WIFI,BLUETOOTH"
JSAT,NB,4.656723263754816,"BLUETOOTH,GSM"
JSAT,RF,4.6930694004331786,"BLUETOOTH,GSM"
JAVAML,RF,4.784105594084373,"WIFI,GSM"
WEKA,NB,4.785432730637601,"BLUETOOTH,GSM"
WEKA,KNN,4.882461170430484,BLUETOOTH
JSAT,KNN,4.894543023862666,"WIFI,BLUETOOTH"
JAVAML,NB,4.931087385815787,WIFI
JSAT,KNN,5.08814556057161,BLUETOOTH
JAVAML,RF,5.394935334246766,BLUETOOTH
JAVAML,RF,5.4572501155020054,"BLUETOOTH,GSM"
JSAT,NB,5.830715575146967,GSM
JAVAML,NB,5.867208934221234,"WIFI,BLUETOOTH,GSM"
WEKA,RF,6.127979141396919,GSM
WEKA,RF,6.326847648676045,BLUETOOTH
WEKA,NB,6.358830430267014,BLUETOOTH
WEKA,KNN,6.365630572028489,"WIFI,BLUETOOTH,GSM"
JSAT,KNN,6.888016739271214,"WIFI,BLUETOOTH,GSM"
JSAT,KNN,6.954158308542296,"BLUETOOTH,GSM"
JSAT,KNN,7.047680223256383,"WIFI,GSM"
JAVAML,NB,7.389439784507849,"WIFI,GSM"
JAVAML,KNN,7.4579091282495,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,7.504444852127489,"BLUETOOTH,GSM"
JAVAML,KNN,7.606497305000978,"BLUETOOTH,GSM"
JAVAML,KNN,7.690384356492929,"WIFI,GSM"
WEKA,KNN,8.150367299292785,"WIFI,GSM"
WEKA,KNN,8.649984005472012,GSM
WEKA,NB,8.933983283379911,GSM
JSAT,RF,9.199686265196663,GSM
JAVAML,RF,9.484716831222,GSM
JSAT,KNN,13.360930727509375,GSM
JAVAML,NB,13.468533709491316,"BLUETOOTH,GSM"
JAVAML,KNN,13.658189457096748,GSM
JAVAML,NB,15.038414018563985,GSM
