framework,algorithm,p,signal_types
JSAT,NB,2.747193824747788,WIFI
WEKA,NB,2.8824775648441743,"WIFI,GSM"
JAVAML,RF,2.915549504917415,"WIFI,BLUETOOTH"
JSAT,NB,2.9214208953867096,"WIFI,BLUETOOTH"
WEKA,RF,2.9581695350198567,WIFI
JAVAML,RF,3.0709213633957297,"WIFI,GSM"
JSAT,NB,3.086808818605398,"BLUETOOTH,GSM"
JSAT,NB,3.0944517346504985,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,3.129353852722364,BLUETOOTH
JSAT,RF,3.2610008594209874,"WIFI,BLUETOOTH"
JSAT,NB,3.269612150954957,"WIFI,GSM"
JAVAML,RF,3.3185798738891585,WIFI
WEKA,NB,3.380771252881036,"WIFI,BLUETOOTH"
WEKA,RF,3.473161687595939,"WIFI,BLUETOOTH,GSM"
JSAT,RF,3.50256580678015,WIFI
JSAT,RF,3.7047183039151657,"WIFI,GSM"
WEKA,RF,3.7302290716268525,BLUETOOTH
WEKA,RF,3.7797144669828504,"WIFI,BLUETOOTH"
WEKA,NB,3.917407447663162,"WIFI,BLUETOOTH,GSM"
WEKA,RF,4.0078885548721725,"BLUETOOTH,GSM"
WEKA,RF,4.014246812442949,"WIFI,GSM"
JAVAML,RF,4.044093242542291,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,4.056043253822578,"WIFI,GSM"
WEKA,NB,4.118725669184679,WIFI
JSAT,RF,4.1937957047286,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,4.234960013852835,"WIFI,BLUETOOTH,GSM"
JAVAML,RF,4.347005532964434,"BLUETOOTH,GSM"
WEKA,NB,4.58578724652723,"BLUETOOTH,GSM"
WEKA,NB,4.816757539482903,BLUETOOTH
JSAT,NB,4.920457525595153,BLUETOOTH
JSAT,RF,5.0808329722730745,BLUETOOTH
JAVAML,KNN,5.185927764135926,"WIFI,BLUETOOTH,GSM"
JSAT,KNN,5.208261231802075,"BLUETOOTH,GSM"
JSAT,KNN,5.248667742528283,"WIFI,GSM"
JSAT,RF,5.248775400090797,"BLUETOOTH,GSM"
JSAT,KNN,5.253715721401756,"WIFI,BLUETOOTH,GSM"
JAVAML,KNN,5.368252303949316,BLUETOOTH
JSAT,NB,5.830715575146967,GSM
JSAT,KNN,5.834458245150509,WIFI
JSAT,KNN,5.958019948723846,BLUETOOTH
WEKA,KNN,5.970522420438153,WIFI
JAVAML,KNN,6.056754734532475,WIFI
WEKA,KNN,6.0613320598146645,"WIFI,BLUETOOTH"
JAVAML,KNN,6.062411454439064,"WIFI,GSM"
JAVAML,KNN,6.07045393737215,"WIFI,BLUETOOTH"
JSAT,KNN,6.345497322162951,"WIFI,BLUETOOTH"
WEKA,KNN,6.505606065219958,"BLUETOOTH,GSM"
JAVAML,RF,7.369805432551758,GSM
JAVAML,KNN,7.496354474083174,"BLUETOOTH,GSM"
WEKA,RF,8.630294706173858,GSM
WEKA,KNN,8.649984005472012,GSM
WEKA,NB,8.933983283379911,GSM
JSAT,RF,9.199686265196663,GSM
JAVAML,RF,9.711794519468265,BLUETOOTH
JSAT,KNN,13.360930727509375,GSM
JAVAML,KNN,13.658189457096748,GSM
JAVAML,NB,15.038414018563985,"BLUETOOTH,GSM"
JAVAML,NB,15.038414018563985,GSM
JAVAML,NB,15.043956967660057,WIFI
JAVAML,NB,15.043956967660057,"WIFI,BLUETOOTH"
JAVAML,NB,15.044703078655422,"WIFI,GSM"
JAVAML,NB,15.044703078655422,"WIFI,BLUETOOTH,GSM"
JAVAML,NB,15.074884376336485,BLUETOOTH
