framework,algorithm,p,signal_types
JSAT,NB,71.4286,BLUETOOTH
WEKA,NB,64.2857,"WIFI,BLUETOOTH"
JAVAML,RF,57.1429,WIFI
JSAT,RF,57.1429,"WIFI,BLUETOOTH,GSM"
JSAT,RF,57.1429,BLUETOOTH
JSAT,NB,57.1429,"WIFI,BLUETOOTH"
WEKA,NB,57.1429,"WIFI,BLUETOOTH,GSM"
JSAT,RF,57.1429,"WIFI,GSM"
JSAT,RF,57.1429,"WIFI,BLUETOOTH"
WEKA,RF,50.0000,"WIFI,GSM"
JAVAML,NB,50.0000,BLUETOOTH
JSAT,NB,50.0000,"WIFI,GSM"
JSAT,KNN,50.0000,"WIFI,GSM"
WEKA,KNN,50.0000,WIFI
WEKA,NB,50.0000,"WIFI,GSM"
JAVAML,KNN,50.0000,WIFI
WEKA,RF,50.0000,"WIFI,BLUETOOTH,GSM"
JSAT,NB,50.0000,"WIFI,BLUETOOTH,GSM"
JSAT,KNN,50.0000,WIFI
WEKA,RF,50.0000,"BLUETOOTH,GSM"
WEKA,NB,42.8571,WIFI
JAVAML,NB,42.8571,"WIFI,BLUETOOTH,GSM"
WEKA,NB,42.8571,"BLUETOOTH,GSM"
WEKA,RF,42.8571,"WIFI,BLUETOOTH"
JSAT,KNN,42.8571,"WIFI,BLUETOOTH,GSM"
JSAT,NB,42.8571,WIFI
JAVAML,KNN,42.8571,"WIFI,GSM"
WEKA,NB,42.8571,BLUETOOTH
WEKA,KNN,42.8571,"WIFI,BLUETOOTH"
JAVAML,RF,42.8571,"WIFI,BLUETOOTH,GSM"
JAVAML,KNN,35.7143,"WIFI,BLUETOOTH,GSM"
JAVAML,KNN,35.7143,BLUETOOTH
JSAT,RF,35.7143,WIFI
JAVAML,RF,35.7143,"WIFI,GSM"
WEKA,RF,35.7143,WIFI
JAVAML,RF,35.7143,"WIFI,BLUETOOTH"
JAVAML,KNN,35.7143,"WIFI,BLUETOOTH"
JSAT,KNN,28.5714,"BLUETOOTH,GSM"
WEKA,KNN,28.5714,BLUETOOTH
WEKA,RF,28.5714,BLUETOOTH
JAVAML,KNN,28.5714,"BLUETOOTH,GSM"
JSAT,RF,28.5714,"BLUETOOTH,GSM"
JAVAML,NB,28.5714,"WIFI,GSM"
JSAT,KNN,28.5714,BLUETOOTH
JSAT,NB,28.5714,"BLUETOOTH,GSM"
JSAT,RF,21.4286,GSM
WEKA,KNN,21.4286,"WIFI,BLUETOOTH,GSM"
JAVAML,NB,21.4286,WIFI
WEKA,RF,21.4286,GSM
JAVAML,RF,21.4286,"BLUETOOTH,GSM"
JSAT,NB,21.4286,GSM
JSAT,KNN,21.4286,"WIFI,BLUETOOTH"
WEKA,KNN,21.4286,"BLUETOOTH,GSM"
WEKA,KNN,21.4286,"WIFI,GSM"
JAVAML,NB,21.4286,"WIFI,BLUETOOTH"
WEKA,KNN,21.4286,GSM
JAVAML,RF,21.4286,BLUETOOTH
WEKA,NB,14.2857,GSM
JAVAML,NB,7.1429,"BLUETOOTH,GSM"
JAVAML,RF,7.1429,GSM
