framework,algorithm,p,signal_types
WEKA,KNN,64.2857,BLUETOOTH
JAVAML,RF,64.2857,WIFI
JSAT,NB,64.2857,"WIFI,BLUETOOTH"
JAVAML,RF,64.2857,"WIFI,BLUETOOTH"
JSAT,RF,57.1429,"WIFI,BLUETOOTH"
WEKA,RF,57.1429,"WIFI,BLUETOOTH"
WEKA,NB,57.1429,"WIFI,GSM"
JSAT,RF,57.1429,WIFI
WEKA,NB,57.1429,"WIFI,BLUETOOTH"
JSAT,NB,57.1429,"WIFI,BLUETOOTH,GSM"
JAVAML,RF,57.1429,"WIFI,GSM"
JSAT,NB,57.1429,BLUETOOTH
WEKA,RF,57.1429,WIFI
WEKA,NB,57.1429,BLUETOOTH
JSAT,NB,57.1429,WIFI
JSAT,RF,57.1429,"WIFI,GSM"
JSAT,RF,50.0000,BLUETOOTH
WEKA,RF,50.0000,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,50.0000,"WIFI,GSM"
WEKA,NB,50.0000,"WIFI,BLUETOOTH,GSM"
WEKA,NB,42.8571,WIFI
JSAT,NB,42.8571,"BLUETOOTH,GSM"
WEKA,KNN,42.8571,"WIFI,BLUETOOTH,GSM"
JSAT,KNN,42.8571,"BLUETOOTH,GSM"
JSAT,NB,42.8571,"WIFI,GSM"
JAVAML,RF,42.8571,"BLUETOOTH,GSM"
JAVAML,RF,35.7143,"WIFI,BLUETOOTH,GSM"
WEKA,RF,35.7143,"WIFI,GSM"
JAVAML,KNN,35.7143,"WIFI,BLUETOOTH,GSM"
WEKA,NB,35.7143,"BLUETOOTH,GSM"
JAVAML,KNN,35.7143,BLUETOOTH
JSAT,RF,35.7143,"WIFI,BLUETOOTH,GSM"
WEKA,RF,35.7143,BLUETOOTH
JSAT,KNN,35.7143,"WIFI,BLUETOOTH,GSM"
JSAT,RF,35.7143,"BLUETOOTH,GSM"
JSAT,KNN,35.7143,BLUETOOTH
JSAT,KNN,28.5714,"WIFI,GSM"
WEKA,KNN,28.5714,"WIFI,BLUETOOTH"
WEKA,RF,28.5714,"BLUETOOTH,GSM"
JAVAML,KNN,28.5714,"WIFI,BLUETOOTH"
JAVAML,RF,21.4286,BLUETOOTH
JSAT,RF,21.4286,GSM
WEKA,KNN,21.4286,WIFI
WEKA,RF,21.4286,GSM
JSAT,NB,21.4286,GSM
WEKA,KNN,21.4286,"BLUETOOTH,GSM"
JSAT,KNN,21.4286,"WIFI,BLUETOOTH"
JAVAML,KNN,21.4286,"BLUETOOTH,GSM"
JAVAML,KNN,21.4286,"WIFI,GSM"
JAVAML,RF,21.4286,GSM
WEKA,KNN,21.4286,GSM
JSAT,KNN,21.4286,WIFI
JAVAML,KNN,14.2857,WIFI
WEKA,NB,14.2857,GSM
