framework,cell_distance
JAVAML,12
JAVAML,1.4142135623730951
JAVAML,7
JAVAML,5
JAVAML,1.4142135623730951
JAVAML,1.4142135623730951
JAVAML,2.23606797749979
JAVAML,15.033296378372908
JAVAML,1
JAVAML,7
JAVAML,4
JAVAML,9
JAVAML,8
JAVAML,12.041594578792296
JAVAML,13
JAVAML,12
JAVAML,12.165525060596439
JAVAML,24
JAVAML,10.04987562112089
JAVAML,3.605551275463989
JAVAML,2
JAVAML,4.47213595499958
JAVAML,1.4142135623730951
JAVAML,3
JAVAML,3
JAVAML,2
JAVAML,4.123105625617661
JAVAML,6
JAVAML,7.280109889280518
JAVAML,8
JAVAML,9.055385138137417
JAVAML,8.246211251235321
JAVAML,9.055385138137417
JAVAML,10
JAVAML,2.23606797749979
JAVAML,2
JAVAML,3.1622776601683795
JAVAML,1
JAVAML,1.4142135623730951
JAVAML,2
JAVAML,1.4142135623730951
JAVAML,3.605551275463989
JAVAML,2.23606797749979
JAVAML,3.1622776601683795
JAVAML,4.123105625617661
JAVAML,1.4142135623730951
JAVAML,10
JAVAML,1
JAVAML,2.23606797749979
JAVAML,9.055385138137417
JAVAML,11.180339887498949
JSAT,12
JSAT,1.4142135623730951
JSAT,7
JSAT,5
JSAT,5.0990195135927845
JSAT,1.4142135623730951
JSAT,2.23606797749979
JSAT,15.033296378372908
JSAT,1
JSAT,1
JSAT,1
JSAT,5
JSAT,5.385164807134504
JSAT,12.041594578792296
JSAT,13
JSAT,12
JSAT,9.219544457292887
JSAT,24
JSAT,10.04987562112089
JSAT,3.605551275463989
JSAT,2.23606797749979
JSAT,4.47213595499958
JSAT,1.4142135623730951
JSAT,3
JSAT,3
JSAT,2
JSAT,4.123105625617661
JSAT,6
JSAT,7.280109889280518
JSAT,8
JSAT,9.055385138137417
JSAT,8.246211251235321
JSAT,9.055385138137417
JSAT,10
JSAT,2.23606797749979
JSAT,2
JSAT,19.026297590440446
JSAT,1
JSAT,1.4142135623730951
JSAT,21
JSAT,1.4142135623730951
JSAT,3.605551275463989
JSAT,28.071337695236398
JSAT,6.082762530298219
JSAT,7.0710678118654755
JSAT,1.4142135623730951
JSAT,13.152946437965905
JSAT,1
JSAT,2.23606797749979
JSAT,9.055385138137417
JSAT,11.180339887498949
WEKA,2
WEKA,26.019223662515376
WEKA,23.08679276123039
WEKA,7.0710678118654755
WEKA,2.23606797749979
WEKA,22.02271554554524
WEKA,6
WEKA,8
WEKA,7.0710678118654755
WEKA,9.055385138137417
WEKA,6.082762530298219
WEKA,5.0990195135927845
WEKA,22.090722034374522
WEKA,3
WEKA,2.23606797749979
WEKA,2
WEKA,1.4142135623730951
WEKA,19
WEKA,1
WEKA,2.23606797749979
WEKA,3.1622776601683795
WEKA,14
WEKA,5
WEKA,3.1622776601683795
WEKA,6.082762530298219
WEKA,7.0710678118654755
WEKA,9
WEKA,8.246211251235321
WEKA,7
WEKA,12.041594578792296
WEKA,3
WEKA,5.385164807134504
WEKA,14
WEKA,15.033296378372908
WEKA,3.605551275463989
WEKA,2.8284271247461903
WEKA,2.23606797749979
WEKA,1
WEKA,1
WEKA,18.027756377319946
WEKA,1
WEKA,2
WEKA,20.024984394500787
WEKA,21
WEKA,21.02379604162864
WEKA,22
WEKA,23.021728866442675
WEKA,23.021728866442675
WEKA,1.4142135623730951
WEKA,10.04987562112089
WEKA,10.04987562112089
