framework,cell_distance
JAVAML,3
JAVAML,0
JAVAML,3.605551275463989
JAVAML,10.04987562112089
JAVAML,1.4142135623730951
JAVAML,2
JAVAML,4.123105625617661
JAVAML,15.033296378372908
JAVAML,9
JAVAML,1
JAVAML,8
JAVAML,3
JAVAML,2
JAVAML,2.23606797749979
JAVAML,7
JAVAML,4.123105625617661
JAVAML,1
JAVAML,3
JAVAML,1.4142135623730951
JAVAML,2.23606797749979
JAVAML,10.198039027185569
JAVAML,6
JAVAML,5
JAVAML,2.23606797749979
JAVAML,2.8284271247461903
JAVAML,3.1622776601683795
JAVAML,9.055385138137417
JAVAML,3.1622776601683795
JAVAML,5.0990195135927845
JAVAML,1.4142135623730951
JAVAML,3.1622776601683795
JAVAML,3
JAVAML,5.0990195135927845
JAVAML,4
JAVAML,4
JAVAML,4.47213595499958
JAVAML,7.0710678118654755
JAVAML,0
JAVAML,3.1622776601683795
JAVAML,2.23606797749979
JAVAML,2
JAVAML,2
JAVAML,2
JAVAML,1.4142135623730951
JAVAML,1
JAVAML,2.23606797749979
JAVAML,9.055385138137417
JAVAML,2
JAVAML,6
JAVAML,5.0990195135927845
JAVAML,7
JSAT,3
JSAT,0
JSAT,4
JSAT,8.246211251235321
JSAT,2.23606797749979
JSAT,2
JSAT,2.23606797749979
JSAT,15.033296378372908
JSAT,6.324555320336759
JSAT,1
JSAT,3
JSAT,3
JSAT,2
JSAT,2.23606797749979
JSAT,7
JSAT,1
JSAT,1
JSAT,3
JSAT,1.4142135623730951
JSAT,2.23606797749979
JSAT,10.198039027185569
JSAT,6
JSAT,1
JSAT,2.23606797749979
JSAT,2.8284271247461903
JSAT,3.1622776601683795
JSAT,4.123105625617661
JSAT,5
JSAT,1
JSAT,1.4142135623730951
JSAT,2.23606797749979
JSAT,3
JSAT,2.23606797749979
JSAT,2
JSAT,4
JSAT,4.47213595499958
JSAT,4.123105625617661
JSAT,1.4142135623730951
JSAT,3.1622776601683795
JSAT,6.324555320336759
JSAT,2
JSAT,5.0990195135927845
JSAT,2
JSAT,1.4142135623730951
JSAT,1
JSAT,2.23606797749979
JSAT,9.055385138137417
JSAT,3.605551275463989
JSAT,6
JSAT,5.0990195135927845
JSAT,7
WEKA,3
WEKA,0
WEKA,4
WEKA,1
WEKA,2.23606797749979
WEKA,2
WEKA,2.23606797749979
WEKA,15.033296378372908
WEKA,6.324555320336759
WEKA,1
WEKA,3
WEKA,3
WEKA,2
WEKA,2.23606797749979
WEKA,12.041594578792296
WEKA,1
WEKA,1
WEKA,3
WEKA,1.4142135623730951
WEKA,2.23606797749979
WEKA,10.198039027185569
WEKA,6
WEKA,1
WEKA,2.23606797749979
WEKA,2
WEKA,3.1622776601683795
WEKA,4.123105625617661
WEKA,5
WEKA,1
WEKA,1.4142135623730951
WEKA,3
WEKA,3
WEKA,2.23606797749979
WEKA,2
WEKA,4.47213595499958
WEKA,5.0990195135927845
WEKA,5
WEKA,4.123105625617661
WEKA,3.1622776601683795
WEKA,6.324555320336759
WEKA,2
WEKA,2
WEKA,2
WEKA,1.4142135623730951
WEKA,1
WEKA,2.23606797749979
WEKA,9.055385138137417
WEKA,2.23606797749979
WEKA,6
WEKA,5.0990195135927845
WEKA,4
