framework,cell_distance
WEKA,1
WEKA,1
WEKA,3.605551275463989
WEKA,1
WEKA,2.23606797749979
WEKA,8.246211251235321
WEKA,1
WEKA,1.4142135623730951
WEKA,1
WEKA,1
WEKA,1.4142135623730951
WEKA,4
WEKA,1
WEKA,1.4142135623730951
WEKA,7
WEKA,3.1622776601683795
WEKA,8.246211251235321
WEKA,1.4142135623730951
WEKA,1.4142135623730951
WEKA,2.23606797749979
WEKA,1
WEKA,5.0990195135927845
WEKA,1.4142135623730951
WEKA,3.1622776601683795
WEKA,3
WEKA,3.1622776601683795
WEKA,4.123105625617661
WEKA,2
WEKA,3.1622776601683795
WEKA,4.47213595499958
WEKA,3
WEKA,1
WEKA,4.123105625617661
WEKA,2.23606797749979
WEKA,1
WEKA,3
WEKA,1.4142135623730951
WEKA,1.4142135623730951
WEKA,4.123105625617661
WEKA,4
WEKA,0
WEKA,8
WEKA,8.246211251235321
WEKA,7.0710678118654755
WEKA,2
WEKA,10.04987562112089
WEKA,13.152946437965905
WEKA,4
WEKA,1
WEKA,5.0990195135927845
WEKA,4
JAVAML,2
JAVAML,1.4142135623730951
JAVAML,4
JAVAML,9.219544457292887
JAVAML,3.1622776601683795
JAVAML,6.324555320336759
JAVAML,8
JAVAML,1.4142135623730951
JAVAML,6.324555320336759
JAVAML,1
JAVAML,1.4142135623730951
JAVAML,3
JAVAML,6
JAVAML,1
JAVAML,18.110770276274835
JAVAML,3.1622776601683795
JAVAML,8.246211251235321
JAVAML,2.8284271247461903
JAVAML,1.4142135623730951
JAVAML,2.23606797749979
JAVAML,2
JAVAML,6
JAVAML,4.123105625617661
JAVAML,3.1622776601683795
JAVAML,7
JAVAML,3.1622776601683795
JAVAML,9.055385138137417
JAVAML,2
JAVAML,5.385164807134504
JAVAML,4
JAVAML,2.23606797749979
JAVAML,3
JAVAML,5.0990195135927845
JAVAML,2
JAVAML,4
JAVAML,1
JAVAML,4.123105625617661
JAVAML,1
JAVAML,2.23606797749979
JAVAML,2.8284271247461903
JAVAML,0
JAVAML,6.324555320336759
JAVAML,1
JAVAML,1.4142135623730951
JAVAML,2
JAVAML,2.23606797749979
JAVAML,7.280109889280518
JAVAML,0
JAVAML,5
JAVAML,5.0990195135927845
JAVAML,7
JSAT,1
JSAT,1
JSAT,4
JSAT,1
JSAT,3.1622776601683795
JSAT,7.0710678118654755
JSAT,1
JSAT,1.4142135623730951
JSAT,1
JSAT,1
JSAT,1.4142135623730951
JSAT,4
JSAT,1
JSAT,1
JSAT,1.4142135623730951
JSAT,1.4142135623730951
JSAT,8.246211251235321
JSAT,1.4142135623730951
JSAT,1.4142135623730951
JSAT,2.23606797749979
JSAT,2
JSAT,6
JSAT,1.4142135623730951
JSAT,3.1622776601683795
JSAT,1
JSAT,3.1622776601683795
JSAT,4.123105625617661
JSAT,1
JSAT,2.8284271247461903
JSAT,4.47213595499958
JSAT,2.23606797749979
JSAT,1
JSAT,4.123105625617661
JSAT,5.385164807134504
JSAT,4
JSAT,1
JSAT,4.123105625617661
JSAT,1
JSAT,3
JSAT,2.8284271247461903
JSAT,0
JSAT,6.324555320336759
JSAT,1
JSAT,1.4142135623730951
JSAT,2
JSAT,2.23606797749979
JSAT,13.152946437965905
JSAT,2.23606797749979
JSAT,1
JSAT,5.0990195135927845
JSAT,1
