framework,cell_distance
WEKA,2.23606797749979
WEKA,1
WEKA,3
WEKA,7.0710678118654755
WEKA,16
WEKA,22.02271554554524
WEKA,6
WEKA,8
WEKA,7.0710678118654755
WEKA,9.055385138137417
WEKA,6.082762530298219
WEKA,5.0990195135927845
WEKA,4.123105625617661
WEKA,3
WEKA,2.23606797749979
WEKA,2
WEKA,1.4142135623730951
WEKA,1
WEKA,0
WEKA,2.23606797749979
WEKA,3.1622776601683795
WEKA,4.123105625617661
WEKA,5
WEKA,6.082762530298219
WEKA,6.082762530298219
WEKA,7.0710678118654755
WEKA,9
WEKA,10.04987562112089
WEKA,11.045361017187261
WEKA,12.041594578792296
WEKA,3
WEKA,3.1622776601683795
WEKA,14
WEKA,15.033296378372908
WEKA,3.605551275463989
WEKA,2.8284271247461903
WEKA,2.23606797749979
WEKA,1
WEKA,1
WEKA,18.027756377319946
WEKA,1
WEKA,2
WEKA,20.024984394500787
WEKA,9.055385138137417
WEKA,3
WEKA,22
WEKA,23.021728866442675
WEKA,23.021728866442675
WEKA,8.06225774829855
WEKA,10
WEKA,10.04987562112089
JAVAML,16.0312195418814
JAVAML,1
JAVAML,3.605551275463989
JAVAML,6.324555320336759
JAVAML,1.4142135623730951
JAVAML,2
JAVAML,1.4142135623730951
JAVAML,15.033296378372908
JAVAML,2.23606797749979
JAVAML,1
JAVAML,2
JAVAML,5
JAVAML,8
JAVAML,12.041594578792296
JAVAML,25.079872407968907
JAVAML,12
JAVAML,12.165525060596439
JAVAML,24
JAVAML,10.04987562112089
JAVAML,3.605551275463989
JAVAML,2
JAVAML,9.055385138137417
JAVAML,1.4142135623730951
JAVAML,3
JAVAML,3
JAVAML,2
JAVAML,3
JAVAML,6
JAVAML,6
JAVAML,7
JAVAML,8.06225774829855
JAVAML,7.0710678118654755
JAVAML,9.055385138137417
JAVAML,7.0710678118654755
JAVAML,3.605551275463989
JAVAML,2.23606797749979
JAVAML,7.0710678118654755
JAVAML,14
JAVAML,2.23606797749979
JAVAML,2
JAVAML,1.4142135623730951
JAVAML,7.280109889280518
JAVAML,1
JAVAML,1
JAVAML,3.1622776601683795
JAVAML,1
JAVAML,6.082762530298219
JAVAML,0
JAVAML,4
JAVAML,3.1622776601683795
JAVAML,1
JSAT,16.0312195418814
JSAT,1
JSAT,3.605551275463989
JSAT,6.324555320336759
JSAT,1.4142135623730951
JSAT,2
JSAT,1.4142135623730951
JSAT,15.033296378372908
JSAT,2.23606797749979
JSAT,1
JSAT,2
JSAT,5
JSAT,8
JSAT,12.041594578792296
JSAT,25.079872407968907
JSAT,9.055385138137417
JSAT,12.165525060596439
JSAT,24
JSAT,10.04987562112089
JSAT,3.605551275463989
JSAT,2
JSAT,2.23606797749979
JSAT,1.4142135623730951
JSAT,3
JSAT,3
JSAT,2
JSAT,3
JSAT,6
JSAT,7
JSAT,7
JSAT,9.055385138137417
JSAT,7.0710678118654755
JSAT,9.055385138137417
JSAT,7.0710678118654755
JSAT,5
JSAT,6.324555320336759
JSAT,7.0710678118654755
JSAT,14
JSAT,11.045361017187261
JSAT,4
JSAT,1.4142135623730951
JSAT,27
JSAT,1
JSAT,1.4142135623730951
JSAT,3.1622776601683795
JSAT,1
JSAT,6.082762530298219
JSAT,1
JSAT,4
JSAT,4
JSAT,1
