framework,cell_distance
JAVAML,2
JAVAML,1
JAVAML,2.8284271247461903
JAVAML,1
JAVAML,2.23606797749979
JAVAML,9.219544457292887
JAVAML,3.1622776601683795
JAVAML,1
JAVAML,1
JAVAML,5
JAVAML,1
JAVAML,1
JAVAML,9.055385138137417
JAVAML,8
JAVAML,18.027756377319946
JAVAML,5.0990195135927845
JAVAML,5
JAVAML,6
JAVAML,1.4142135623730951
JAVAML,4.123105625617661
JAVAML,7.280109889280518
JAVAML,2
JAVAML,5
JAVAML,8.246211251235321
JAVAML,2.23606797749979
JAVAML,3.1622776601683795
JAVAML,11.045361017187261
JAVAML,4.47213595499958
JAVAML,1
JAVAML,17.11724276862369
JAVAML,10.04987562112089
JAVAML,1
JAVAML,3.1622776601683795
JAVAML,7
JAVAML,5.385164807134504
JAVAML,2
JAVAML,4.123105625617661
JAVAML,21
JAVAML,1
JAVAML,2
JAVAML,0
JAVAML,2.8284271247461903
JAVAML,19
JAVAML,15.033296378372908
JAVAML,3.605551275463989
JAVAML,8
JAVAML,14
JAVAML,8
JAVAML,2.23606797749979
JAVAML,1
JAVAML,6.082762530298219
JSAT,2.23606797749979
JSAT,2.23606797749979
JSAT,3.1622776601683795
JSAT,2.23606797749979
JSAT,2.23606797749979
JSAT,6.082762530298219
JSAT,7
JSAT,5.0990195135927845
JSAT,1
JSAT,2.23606797749979
JSAT,0
JSAT,2.8284271247461903
JSAT,3.1622776601683795
JSAT,2
JSAT,13
JSAT,8.06225774829855
JSAT,1
JSAT,6
JSAT,1
JSAT,4.47213595499958
JSAT,2.23606797749979
JSAT,0
JSAT,3.1622776601683795
JSAT,2
JSAT,2.23606797749979
JSAT,2.23606797749979
JSAT,10
JSAT,7.0710678118654755
JSAT,7.0710678118654755
JSAT,4
JSAT,7.0710678118654755
JSAT,3.1622776601683795
JSAT,3.1622776601683795
JSAT,1.4142135623730951
JSAT,3.605551275463989
JSAT,3.1622776601683795
JSAT,2
JSAT,1
JSAT,1
JSAT,2.23606797749979
JSAT,1
JSAT,4.123105625617661
JSAT,22.02271554554524
JSAT,1.4142135623730951
JSAT,5.0990195135927845
JSAT,4
JSAT,3.605551275463989
JSAT,3
JSAT,2.23606797749979
JSAT,2.23606797749979
JSAT,7.0710678118654755
WEKA,2
WEKA,2.23606797749979
WEKA,7.280109889280518
WEKA,3
WEKA,4.123105625617661
WEKA,8.246211251235321
WEKA,4.123105625617661
WEKA,3.1622776601683795
WEKA,1
WEKA,3.605551275463989
WEKA,0
WEKA,3.605551275463989
WEKA,2
WEKA,1.4142135623730951
WEKA,11.180339887498949
WEKA,8
WEKA,2.8284271247461903
WEKA,2.23606797749979
WEKA,2.23606797749979
WEKA,4.123105625617661
WEKA,1
WEKA,2.23606797749979
WEKA,5
WEKA,8
WEKA,4
WEKA,3
WEKA,11.045361017187261
WEKA,8.06225774829855
WEKA,7.0710678118654755
WEKA,15.033296378372908
WEKA,16.0312195418814
WEKA,1
WEKA,4.123105625617661
WEKA,2.23606797749979
WEKA,4.47213595499958
WEKA,4
WEKA,2.23606797749979
WEKA,2
WEKA,1.4142135623730951
WEKA,2.8284271247461903
WEKA,1.4142135623730951
WEKA,6.324555320336759
WEKA,17
WEKA,11.045361017187261
WEKA,3.1622776601683795
WEKA,8.06225774829855
WEKA,5.0990195135927845
WEKA,30.066592756745816
WEKA,2.23606797749979
WEKA,1
WEKA,8.06225774829855
