framework,cell_distance
JAVAML,6.0827625303
JAVAML,4.1231056256
JAVAML,5.0990195136
JAVAML,6.0827625303
JAVAML,1
JAVAML,1.4142135624
JAVAML,2.2360679775
JAVAML,16.0312195419
JAVAML,1
JAVAML,22.0907220344
JAVAML,12.1655250606
JAVAML,4
JAVAML,3.6055512755
JAVAML,1.4142135624
JAVAML,2
JAVAML,3.1622776602
JAVAML,10.1980390272
JAVAML,2
JAVAML,4.1231056256
JAVAML,2.2360679775
JAVAML,3
JAVAML,6
JAVAML,1.4142135624
JAVAML,2.2360679775
JAVAML,2
JAVAML,7.0710678119
JAVAML,11.0453610172
JAVAML,12.0415945788
JAVAML,2.2360679775
JAVAML,1
JAVAML,3.1622776602
JAVAML,10.1980390272
JAVAML,1.4142135624
JAVAML,2.8284271247
JAVAML,8.0622577483
JAVAML,2
JAVAML,5.0990195136
JAVAML,3
JAVAML,4.1231056256
JAVAML,5.0990195136
JAVAML,3
JAVAML,6.0827625303
JAVAML,7.0710678119
JAVAML,1.4142135624
JAVAML,7.2801098893
JAVAML,2.2360679775
JAVAML,6.3245553203
JAVAML,2
JAVAML,2
JAVAML,12.0415945788
JAVAML,7
JSAT,2
JSAT,1
JSAT,1
JSAT,16.0312195419
JSAT,1.4142135624
JSAT,1
JSAT,2.2360679775
JSAT,1.4142135624
JSAT,6.3245553203
JSAT,3
JSAT,2.8284271247
JSAT,0
JSAT,2
JSAT,2.2360679775
JSAT,2
JSAT,1.4142135624
JSAT,3.6055512755
JSAT,2
JSAT,5.0990195136
JSAT,0
JSAT,2.2360679775
JSAT,8.2462112512
JSAT,2.2360679775
JSAT,2.2360679775
JSAT,2.8284271247
JSAT,5.3851648071
JSAT,1.4142135624
JSAT,11.0453610172
JSAT,2.2360679775
JSAT,0
JSAT,0
JSAT,6
JSAT,3.1622776602
JSAT,2.2360679775
JSAT,2.2360679775
JSAT,3
JSAT,4.1231056256
JSAT,2
JSAT,2.2360679775
JSAT,3.6055512755
JSAT,6.3245553203
JSAT,5.0990195136
JSAT,1
JSAT,1
JSAT,1
JSAT,3.1622776602
JSAT,4.472135955
JSAT,3.6055512755
JSAT,1
JSAT,3.1622776602
JSAT,2
WEKA,2
WEKA,1.4142135624
WEKA,0
WEKA,8.2462112512
WEKA,2.2360679775
WEKA,2.2360679775
WEKA,4.1231056256
WEKA,11.0453610172
WEKA,6.0827625303
WEKA,3
WEKA,3.6055512755
WEKA,0
WEKA,1
WEKA,2.2360679775
WEKA,2
WEKA,1
WEKA,6
WEKA,2
WEKA,5.0990195136
WEKA,0
WEKA,2.8284271247
WEKA,6.3245553203
WEKA,1
WEKA,1
WEKA,2
WEKA,4.472135955
WEKA,6.0827625303
WEKA,4
WEKA,1
WEKA,3
WEKA,2.2360679775
WEKA,5
WEKA,4.1231056256
WEKA,3.6055512755
WEKA,3
WEKA,5
WEKA,5.0990195136
WEKA,2.2360679775
WEKA,3.1622776602
WEKA,2.2360679775
WEKA,4.472135955
WEKA,5.3851648071
WEKA,1
WEKA,1
WEKA,2
WEKA,1.4142135624
WEKA,2.8284271247
WEKA,2
WEKA,4
WEKA,5.0990195136
WEKA,5
