framework,cell_distance
JAVAML,4
JAVAML,2.23606797749979
JAVAML,5.385164807134504
JAVAML,2.8284271247461903
JAVAML,4.123105625617661
JAVAML,8.246211251235321
JAVAML,1.4142135623730951
JAVAML,1
JAVAML,2
JAVAML,3
JAVAML,1
JAVAML,2
JAVAML,6
JAVAML,16.0312195418814
JAVAML,8
JAVAML,8.06225774829855
JAVAML,5
JAVAML,6
JAVAML,2.23606797749979
JAVAML,4
JAVAML,1
JAVAML,5
JAVAML,1
JAVAML,2.8284271247461903
JAVAML,2.8284271247461903
JAVAML,2.23606797749979
JAVAML,8.06225774829855
JAVAML,2.8284271247461903
JAVAML,7.280109889280518
JAVAML,4.47213595499958
JAVAML,2.23606797749979
JAVAML,5.0990195135927845
JAVAML,1.4142135623730951
JAVAML,2
JAVAML,4
JAVAML,7.280109889280518
JAVAML,5.0990195135927845
JAVAML,2
JAVAML,5
JAVAML,2.23606797749979
JAVAML,0
JAVAML,1.4142135623730951
JAVAML,29.068883707497267
JAVAML,18.027756377319946
JAVAML,12
JAVAML,13.038404810405298
JAVAML,0
JAVAML,10.04987562112089
JAVAML,2.23606797749979
JAVAML,0
JAVAML,7.0710678118654755
JSAT,2
JSAT,1
JSAT,5.385164807134504
JSAT,2.8284271247461903
JSAT,3.1622776601683795
JSAT,6
JSAT,9.055385138137417
JSAT,1.4142135623730951
JSAT,1
JSAT,1.4142135623730951
JSAT,0
JSAT,1
JSAT,9.055385138137417
JSAT,0
JSAT,11.180339887498949
JSAT,6.082762530298219
JSAT,2.23606797749979
JSAT,7.280109889280518
JSAT,5.0990195135927845
JSAT,3.605551275463989
JSAT,2.23606797749979
JSAT,2
JSAT,4
JSAT,3
JSAT,2.23606797749979
JSAT,2.23606797749979
JSAT,7.0710678118654755
JSAT,8.06225774829855
JSAT,2.8284271247461903
JSAT,11.180339887498949
JSAT,8
JSAT,5.0990195135927845
JSAT,4.123105625617661
JSAT,7.0710678118654755
JSAT,4.47213595499958
JSAT,6.082762530298219
JSAT,2.23606797749979
JSAT,2
JSAT,2.23606797749979
JSAT,2.23606797749979
JSAT,0
JSAT,4
JSAT,17
JSAT,19.026297590440446
JSAT,4.47213595499958
JSAT,0
JSAT,0
JSAT,23
JSAT,2.23606797749979
JSAT,1
JSAT,4.47213595499958
WEKA,2
WEKA,1
WEKA,8.246211251235321
WEKA,2.8284271247461903
WEKA,2.23606797749979
WEKA,8.246211251235321
WEKA,4
WEKA,1
WEKA,2
WEKA,3
WEKA,1
WEKA,1
WEKA,6
WEKA,19.026297590440446
WEKA,18.027756377319946
WEKA,8.06225774829855
WEKA,5
WEKA,6
WEKA,5.0990195135927845
WEKA,4.123105625617661
WEKA,2.23606797749979
WEKA,5
WEKA,1
WEKA,3
WEKA,2.8284271247461903
WEKA,2.23606797749979
WEKA,7.0710678118654755
WEKA,10
WEKA,7.280109889280518
WEKA,4.47213595499958
WEKA,10.04987562112089
WEKA,5.0990195135927845
WEKA,5.0990195135927845
WEKA,2
WEKA,3.1622776601683795
WEKA,6.082762530298219
WEKA,2.23606797749979
WEKA,2
WEKA,5
WEKA,1
WEKA,0
WEKA,1.4142135623730951
WEKA,19
WEKA,21
WEKA,8
WEKA,13.038404810405298
WEKA,0
WEKA,0
WEKA,2.23606797749979
WEKA,13.038404810405298
WEKA,7.0710678118654755
