framework,cell_distance
JAVAML,12
JAVAML,1.4142135623730951
JAVAML,7
JAVAML,15.033296378372908
JAVAML,1
JAVAML,1.4142135623730951
JAVAML,2.23606797749979
JAVAML,16.0312195418814
JAVAML,1
JAVAML,4.47213595499958
JAVAML,1.4142135623730951
JAVAML,7
JAVAML,10
JAVAML,12.041594578792296
JAVAML,13
JAVAML,4.123105625617661
JAVAML,9.219544457292887
JAVAML,11
JAVAML,10.04987562112089
JAVAML,3.605551275463989
JAVAML,4.47213595499958
JAVAML,5
JAVAML,1.4142135623730951
JAVAML,6.324555320336759
JAVAML,3
JAVAML,2
JAVAML,4.123105625617661
JAVAML,6
JAVAML,6
JAVAML,7.280109889280518
JAVAML,9.055385138137417
JAVAML,5.385164807134504
JAVAML,9.055385138137417
JAVAML,8
JAVAML,2.23606797749979
JAVAML,2
JAVAML,3
JAVAML,1
JAVAML,11.045361017187261
JAVAML,2.8284271247461903
JAVAML,0
JAVAML,3.605551275463989
JAVAML,3
JAVAML,1
JAVAML,6.082762530298219
JAVAML,0
JAVAML,2
JAVAML,1
JAVAML,4
JAVAML,3.1622776601683795
JAVAML,2.23606797749979
JSAT,12
JSAT,2.23606797749979
JSAT,7
JSAT,1
JSAT,1.4142135623730951
JSAT,1.4142135623730951
JSAT,2.23606797749979
JSAT,30
JSAT,1
JSAT,2.23606797749979
JSAT,1.4142135623730951
JSAT,5
JSAT,10.04987562112089
JSAT,12.041594578792296
JSAT,11.180339887498949
JSAT,4.123105625617661
JSAT,9.219544457292887
JSAT,11.045361017187261
JSAT,10.04987562112089
JSAT,3.1622776601683795
JSAT,2.23606797749979
JSAT,2
JSAT,1.4142135623730951
JSAT,3.1622776601683795
JSAT,3
JSAT,2
JSAT,9.055385138137417
JSAT,9
JSAT,10.198039027185569
JSAT,11
JSAT,13.038404810405298
JSAT,9.219544457292887
JSAT,5.0990195135927845
JSAT,7.0710678118654755
JSAT,2.23606797749979
JSAT,2
JSAT,1
JSAT,1
JSAT,0
JSAT,2
JSAT,0
JSAT,3.605551275463989
JSAT,1
JSAT,2
JSAT,1
JSAT,2.23606797749979
JSAT,1
JSAT,2
JSAT,1.4142135623730951
JSAT,1
JSAT,2.23606797749979
WEKA,12
WEKA,2.23606797749979
WEKA,7
WEKA,2.8284271247461903
WEKA,3.1622776601683795
WEKA,1.4142135623730951
WEKA,4
WEKA,31.016124838541646
WEKA,1
WEKA,2
WEKA,1.4142135623730951
WEKA,5
WEKA,11
WEKA,14.035668847618199
WEKA,13
WEKA,4.123105625617661
WEKA,12.165525060596439
WEKA,11.045361017187261
WEKA,7.0710678118654755
WEKA,4.123105625617661
WEKA,1
WEKA,2
WEKA,3.1622776601683795
WEKA,6.324555320336759
WEKA,5
WEKA,2
WEKA,1
WEKA,4
WEKA,2.8284271247461903
WEKA,6
WEKA,4.123105625617661
WEKA,4.47213595499958
WEKA,4.123105625617661
WEKA,2
WEKA,2.23606797749979
WEKA,2
WEKA,3
WEKA,8.246211251235321
WEKA,1.4142135623730951
WEKA,4
WEKA,0
WEKA,3.605551275463989
WEKA,3.1622776601683795
WEKA,1.4142135623730951
WEKA,8
WEKA,1.4142135623730951
WEKA,0
WEKA,2
WEKA,1.4142135623730951
WEKA,1
WEKA,2.23606797749979
