framework,cell_distance
JAVAML,11.180339887498949
JAVAML,5.0990195135927845
JAVAML,4.123105625617661
JAVAML,16.0312195418814
JAVAML,4.123105625617661
JAVAML,2.23606797749979
JAVAML,17.029386365926403
JAVAML,30
JAVAML,2.8284271247461903
JAVAML,5.385164807134504
JAVAML,3
JAVAML,5
JAVAML,6.324555320336759
JAVAML,6.082762530298219
JAVAML,19
JAVAML,19.026297590440446
JAVAML,9.219544457292887
JAVAML,11.045361017187261
JAVAML,1.4142135623730951
JAVAML,3.1622776601683795
JAVAML,2.23606797749979
JAVAML,3
JAVAML,3.1622776601683795
JAVAML,6.324555320336759
JAVAML,5
JAVAML,2
JAVAML,4.123105625617661
JAVAML,4.47213595499958
JAVAML,6.324555320336759
JAVAML,11
JAVAML,12.041594578792296
JAVAML,12
JAVAML,13.038404810405298
JAVAML,2.8284271247461903
JAVAML,2.23606797749979
JAVAML,2
JAVAML,1
JAVAML,1
JAVAML,27.018512172212592
JAVAML,3
JAVAML,0
JAVAML,17
JAVAML,3.605551275463989
JAVAML,6
JAVAML,6.082762530298219
JAVAML,1.4142135623730951
JAVAML,2
JAVAML,0
JAVAML,8
JAVAML,3.1622776601683795
JAVAML,10
JSAT,12
JSAT,10.04987562112089
JSAT,23.021728866442675
JSAT,16.0312195418814
JSAT,1.4142135623730951
JSAT,1.4142135623730951
JSAT,16.0312195418814
JSAT,30
JSAT,1
JSAT,2.23606797749979
JSAT,1.4142135623730951
JSAT,14
JSAT,13.038404810405298
JSAT,12.041594578792296
JSAT,13
JSAT,13.038404810405298
JSAT,12.165525060596439
JSAT,24
JSAT,22.02271554554524
JSAT,2
JSAT,2.23606797749979
JSAT,9.055385138137417
JSAT,4.123105625617661
JSAT,3.1622776601683795
JSAT,3
JSAT,2
JSAT,8.06225774829855
JSAT,9
JSAT,10.198039027185569
JSAT,11
JSAT,12.041594578792296
JSAT,10.198039027185569
JSAT,13.038404810405298
JSAT,7
JSAT,9.055385138137417
JSAT,6
JSAT,6.082762530298219
JSAT,4.123105625617661
JSAT,27.018512172212592
JSAT,2.23606797749979
JSAT,2.8284271247461903
JSAT,3.605551275463989
JSAT,3
JSAT,1.4142135623730951
JSAT,7.280109889280518
JSAT,1
JSAT,12
JSAT,1
JSAT,7
JSAT,1
JSAT,2.23606797749979
WEKA,12.041594578792296
WEKA,21.02379604162864
WEKA,23.021728866442675
WEKA,15
WEKA,4.123105625617661
WEKA,2.23606797749979
WEKA,17
WEKA,30
WEKA,2.8284271247461903
WEKA,5.385164807134504
WEKA,3
WEKA,5
WEKA,20.09975124224178
WEKA,6.082762530298219
WEKA,19
WEKA,19.026297590440446
WEKA,12.165525060596439
WEKA,11.045361017187261
WEKA,10.04987562112089
WEKA,1
WEKA,2.23606797749979
WEKA,9
WEKA,3.1622776601683795
WEKA,6.324555320336759
WEKA,5
WEKA,2
WEKA,4.123105625617661
WEKA,4
WEKA,4
WEKA,1
WEKA,5.0990195135927845
WEKA,4.47213595499958
WEKA,1.4142135623730951
WEKA,3
WEKA,2.23606797749979
WEKA,6
WEKA,3
WEKA,1
WEKA,24.020824298928627
WEKA,4
WEKA,0
WEKA,17
WEKA,2
WEKA,1.4142135623730951
WEKA,6.082762530298219
WEKA,0
WEKA,6.082762530298219
WEKA,1
WEKA,5.385164807134504
WEKA,3.1622776601683795
WEKA,2.23606797749979
