framework,cell_distance
JAVAML,3
JAVAML,3.1622776601683795
JAVAML,4
JAVAML,9.219544457292887
JAVAML,1.4142135623730951
JAVAML,1.4142135623730951
JAVAML,2.23606797749979
JAVAML,1.4142135623730951
JAVAML,9
JAVAML,0
JAVAML,3
JAVAML,4.123105625617661
JAVAML,1
JAVAML,2.23606797749979
JAVAML,1.4142135623730951
JAVAML,4.123105625617661
JAVAML,2
JAVAML,2
JAVAML,1.4142135623730951
JAVAML,2.23606797749979
JAVAML,2
JAVAML,10.198039027185569
JAVAML,4
JAVAML,4.123105625617661
JAVAML,8.06225774829855
JAVAML,3.1622776601683795
JAVAML,4.123105625617661
JAVAML,1.4142135623730951
JAVAML,1
JAVAML,1.4142135623730951
JAVAML,7.0710678118654755
JAVAML,9
JAVAML,6.082762530298219
JAVAML,2
JAVAML,4
JAVAML,6.082762530298219
JAVAML,4.123105625617661
JAVAML,1
JAVAML,4.123105625617661
JAVAML,2.23606797749979
JAVAML,2
JAVAML,6.324555320336759
JAVAML,2.23606797749979
JAVAML,1.4142135623730951
JAVAML,1
JAVAML,2.23606797749979
JAVAML,3
JAVAML,3.605551275463989
JAVAML,5
JAVAML,1
JAVAML,15.132745950421556
JSAT,2
JSAT,0
JSAT,1
JSAT,9
JSAT,1.4142135623730951
JSAT,1.4142135623730951
JSAT,2.23606797749979
JSAT,15.033296378372908
JSAT,10
JSAT,0
JSAT,3.605551275463989
JSAT,4
JSAT,1
JSAT,2.23606797749979
JSAT,7
JSAT,3.1622776601683795
JSAT,6.082762530298219
JSAT,1
JSAT,8
JSAT,2.23606797749979
JSAT,2.8284271247461903
JSAT,6
JSAT,3.1622776601683795
JSAT,2.23606797749979
JSAT,2.8284271247461903
JSAT,3
JSAT,1.4142135623730951
JSAT,18.110770276274835
JSAT,2.23606797749979
JSAT,1.4142135623730951
JSAT,19.026297590440446
JSAT,7
JSAT,1
JSAT,6
JSAT,4
JSAT,7.280109889280518
JSAT,4.123105625617661
JSAT,1
JSAT,3
JSAT,2.8284271247461903
JSAT,2
JSAT,6.082762530298219
JSAT,1.4142135623730951
JSAT,1.4142135623730951
JSAT,1.4142135623730951
JSAT,2.23606797749979
JSAT,1.4142135623730951
JSAT,3.605551275463989
JSAT,1
JSAT,3.1622776601683795
JSAT,18.110770276274835
WEKA,2
WEKA,0
WEKA,4
WEKA,15.132745950421556
WEKA,1.4142135623730951
WEKA,2
WEKA,2.23606797749979
WEKA,16.0312195418814
WEKA,10.198039027185569
WEKA,1
WEKA,1.4142135623730951
WEKA,3
WEKA,4
WEKA,1
WEKA,2
WEKA,7.0710678118654755
WEKA,6.082762530298219
WEKA,2
WEKA,1.4142135623730951
WEKA,2.23606797749979
WEKA,2
WEKA,6
WEKA,3.1622776601683795
WEKA,2.23606797749979
WEKA,2.8284271247461903
WEKA,1
WEKA,1.4142135623730951
WEKA,7
WEKA,3
WEKA,1.4142135623730951
WEKA,2.23606797749979
WEKA,3.1622776601683795
WEKA,1
WEKA,6
WEKA,2.23606797749979
WEKA,7.280109889280518
WEKA,4.123105625617661
WEKA,1
WEKA,3.1622776601683795
WEKA,2.23606797749979
WEKA,3
WEKA,4
WEKA,3.605551275463989
WEKA,1.4142135623730951
WEKA,1.4142135623730951
WEKA,2.23606797749979
WEKA,4.47213595499958
WEKA,3.605551275463989
WEKA,1
WEKA,3.1622776601683795
WEKA,7.280109889280518
