framework,cell_distance
JAVAML,1
JAVAML,2.23606797749979
JAVAML,4
JAVAML,2.23606797749979
JAVAML,6.082762530298219
JAVAML,1.4142135623730951
JAVAML,2.23606797749979
JAVAML,13.038404810405298
JAVAML,1
JAVAML,1
JAVAML,2
JAVAML,1
JAVAML,1
JAVAML,1
JAVAML,1.4142135623730951
JAVAML,7.0710678118654755
JAVAML,5
JAVAML,2.23606797749979
JAVAML,1.4142135623730951
JAVAML,4.123105625617661
JAVAML,2
JAVAML,8.246211251235321
JAVAML,4
JAVAML,2.23606797749979
JAVAML,2.8284271247461903
JAVAML,1.4142135623730951
JAVAML,3
JAVAML,1
JAVAML,2.8284271247461903
JAVAML,1.4142135623730951
JAVAML,10.04987562112089
JAVAML,3.1622776601683795
JAVAML,2.23606797749979
JAVAML,7.0710678118654755
JAVAML,4
JAVAML,6.082762530298219
JAVAML,4.123105625617661
JAVAML,1
JAVAML,1.4142135623730951
JAVAML,2.8284271247461903
JAVAML,4.47213595499958
JAVAML,6.324555320336759
JAVAML,1
JAVAML,1.4142135623730951
JAVAML,2
JAVAML,2.23606797749979
JAVAML,13.152946437965905
JAVAML,2
JAVAML,1
JAVAML,0
JAVAML,7.280109889280518
JSAT,2
JSAT,1
JSAT,4
JSAT,9
JSAT,3.1622776601683795
JSAT,2
JSAT,2.23606797749979
JSAT,1.4142135623730951
JSAT,1
JSAT,2.23606797749979
JSAT,2.23606797749979
JSAT,0
JSAT,1
JSAT,1
JSAT,11.180339887498949
JSAT,7.0710678118654755
JSAT,2.23606797749979
JSAT,2.23606797749979
JSAT,1.4142135623730951
JSAT,2.23606797749979
JSAT,2.8284271247461903
JSAT,6
JSAT,5.0990195135927845
JSAT,2.23606797749979
JSAT,2.8284271247461903
JSAT,3
JSAT,1.4142135623730951
JSAT,1
JSAT,2.23606797749979
JSAT,8
JSAT,13.038404810405298
JSAT,7
JSAT,9
JSAT,6
JSAT,4
JSAT,6.082762530298219
JSAT,4.123105625617661
JSAT,2
JSAT,2.23606797749979
JSAT,2.8284271247461903
JSAT,2
JSAT,4
JSAT,0
JSAT,0
JSAT,1.4142135623730951
JSAT,2.23606797749979
JSAT,3.605551275463989
JSAT,1
JSAT,2.23606797749979
JSAT,4
JSAT,1
WEKA,1.4142135623730951
WEKA,2.23606797749979
WEKA,4
WEKA,5
WEKA,1.4142135623730951
WEKA,1.4142135623730951
WEKA,2.23606797749979
WEKA,1.4142135623730951
WEKA,1
WEKA,0
WEKA,1
WEKA,1
WEKA,1
WEKA,1
WEKA,2
WEKA,7.0710678118654755
WEKA,5
WEKA,0
WEKA,1.4142135623730951
WEKA,2.8284271247461903
WEKA,2.23606797749979
WEKA,6
WEKA,3.1622776601683795
WEKA,2.8284271247461903
WEKA,2.8284271247461903
WEKA,3.1622776601683795
WEKA,1.4142135623730951
WEKA,2
WEKA,2.8284271247461903
WEKA,1.4142135623730951
WEKA,2.23606797749979
WEKA,3.1622776601683795
WEKA,4.123105625617661
WEKA,7.0710678118654755
WEKA,2.23606797749979
WEKA,7.280109889280518
WEKA,4.123105625617661
WEKA,2
WEKA,2.23606797749979
WEKA,2.23606797749979
WEKA,1.4142135623730951
WEKA,6.082762530298219
WEKA,10
WEKA,0
WEKA,2
WEKA,3.1622776601683795
WEKA,2.23606797749979
WEKA,2
WEKA,10.198039027185569
WEKA,2.23606797749979
WEKA,5
