framework,algorithm,p,signal_types
WEKA,KNN,2.8459803183116015,"WIFI,BLUETOOTH"
WEKA,KNN,2.973270111830768,BLUETOOTH
JSAT,RF,3.2624795397963906,"WIFI,BLUETOOTH,GSM"
JAVAML,RF,3.3177581970738337,"WIFI,BLUETOOTH"
JSAT,NB,3.5592519075151303,"WIFI,GSM"
JSAT,NB,3.5592519075151303,WIFI
JAVAML,RF,3.739573962533302,BLUETOOTH
WEKA,KNN,3.7623725335280143,WIFI
WEKA,RF,3.880768244615262,"WIFI,BLUETOOTH"
JSAT,NB,3.929521949334945,"WIFI,BLUETOOTH"
JSAT,NB,3.929521949334945,"WIFI,BLUETOOTH,GSM"
JAVAML,KNN,3.972617139932725,WIFI
JSAT,NB,3.990671272565457,BLUETOOTH
JSAT,NB,3.990671272565457,"BLUETOOTH,GSM"
JAVAML,RF,4.042245237177794,"WIFI,GSM"
JSAT,RF,4.243129735365242,WIFI
WEKA,RF,4.265168991135763,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,4.286668202811393,"WIFI,BLUETOOTH,GSM"
JSAT,RF,4.2965386521696916,"WIFI,BLUETOOTH"
JAVAML,KNN,4.487077716534717,BLUETOOTH
JSAT,RF,4.564634942553704,BLUETOOTH
WEKA,RF,4.568687223693684,"BLUETOOTH,GSM"
JSAT,KNN,4.622159151442782,BLUETOOTH
JAVAML,RF,5.014018925532763,WIFI
WEKA,RF,5.018156901072212,BLUETOOTH
WEKA,NB,5.042864764096421,"WIFI,BLUETOOTH"
WEKA,NB,5.042864764096421,"WIFI,BLUETOOTH,GSM"
WEKA,RF,5.108864727074187,WIFI
WEKA,NB,5.205553119955741,WIFI
WEKA,NB,5.205553119955741,"WIFI,GSM"
JAVAML,KNN,5.217859406573293,"WIFI,BLUETOOTH"
JAVAML,KNN,5.768982566331643,"WIFI,GSM"
JAVAML,RF,6.056237311962429,"WIFI,BLUETOOTH,GSM"
JSAT,RF,6.135696746956951,"BLUETOOTH,GSM"
WEKA,KNN,6.269033840439311,"BLUETOOTH,GSM"
JAVAML,NB,6.466017834111598,WIFI
WEKA,KNN,6.4867064775692445,"WIFI,GSM"
JSAT,KNN,6.590393789894556,"WIFI,GSM"
WEKA,RF,6.611282231856268,"WIFI,GSM"
JAVAML,NB,6.675626386401321,"WIFI,BLUETOOTH"
JSAT,RF,6.675636552531432,"WIFI,GSM"
WEKA,NB,7.461062768988393,BLUETOOTH
WEKA,NB,7.461062768988393,"BLUETOOTH,GSM"
JSAT,KNN,7.969766475260296,WIFI
JAVAML,NB,8.024555987089437,BLUETOOTH
JAVAML,KNN,8.156113007290035,GSM
JSAT,KNN,8.189130212309035,"WIFI,BLUETOOTH"
JSAT,KNN,9.281210220612175,"WIFI,BLUETOOTH,GSM"
JAVAML,RF,10.048933741528463,"BLUETOOTH,GSM"
JSAT,KNN,10.105449442148222,GSM
JAVAML,RF,10.105449442148222,GSM
JSAT,KNN,10.713130404229283,"BLUETOOTH,GSM"
WEKA,NB,10.841280758726374,GSM
JSAT,NB,10.841280758726374,GSM
WEKA,RF,10.841280758726374,GSM
JAVAML,KNN,11.457827731627042,"BLUETOOTH,GSM"
JSAT,RF,11.682646446408643,GSM
JAVAML,KNN,12.437157060447111,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,13.188951887154468,GSM
JAVAML,NB,14.828733546194588,"BLUETOOTH,GSM"
JAVAML,NB,14.828733546194588,GSM
JAVAML,NB,14.906606632105621,"WIFI,GSM"
JAVAML,NB,14.906606632105621,"WIFI,BLUETOOTH,GSM"
