framework,algorithm,p,signal_types
JSAT,NB,2.5866056254812326,"WIFI,BLUETOOTH"
JSAT,NB,2.5866056254812326,"WIFI,BLUETOOTH,GSM"
WEKA,RF,2.9242800615024187,"WIFI,BLUETOOTH,GSM"
JSAT,NB,3.5714936570023768,"WIFI,GSM"
JSAT,NB,3.5714936570023768,WIFI
WEKA,RF,3.593228548155513,"WIFI,BLUETOOTH"
WEKA,RF,3.6016093909080853,"WIFI,GSM"
WEKA,RF,3.6628217894164337,WIFI
JAVAML,RF,3.7707406513449016,"WIFI,BLUETOOTH"
JSAT,RF,3.9799378369507594,"WIFI,BLUETOOTH,GSM"
JSAT,RF,4.073520312307143,"WIFI,BLUETOOTH"
JSAT,RF,4.210207441568834,"WIFI,GSM"
JAVAML,RF,4.3936570317375345,"BLUETOOTH,GSM"
JAVAML,RF,4.43061247867484,"WIFI,GSM"
JAVAML,KNN,4.447423549712253,"WIFI,GSM"
WEKA,NB,4.586668202811394,WIFI
WEKA,NB,4.586668202811394,"WIFI,GSM"
JAVAML,RF,4.754423707649203,WIFI
JAVAML,KNN,4.778957716750026,WIFI
JSAT,RF,4.790802444190507,WIFI
WEKA,KNN,4.8533113962000005,"WIFI,GSM"
JSAT,KNN,5.322428610303215,BLUETOOTH
WEKA,RF,5.42177938382013,"BLUETOOTH,GSM"
WEKA,KNN,5.539391322102326,"WIFI,BLUETOOTH"
JAVAML,RF,5.692528776295274,BLUETOOTH
WEKA,KNN,5.83140560578086,"BLUETOOTH,GSM"
JSAT,KNN,6.148028296672402,"WIFI,BLUETOOTH"
JSAT,NB,6.169469403445481,BLUETOOTH
JSAT,NB,6.169469403445481,"BLUETOOTH,GSM"
WEKA,RF,6.476034722362257,BLUETOOTH
JSAT,RF,6.545287304149559,BLUETOOTH
JSAT,RF,6.550633214783803,"BLUETOOTH,GSM"
JSAT,KNN,6.743753103745325,"WIFI,BLUETOOTH,GSM"
JAVAML,KNN,6.743753103745325,"WIFI,BLUETOOTH,GSM"
JSAT,KNN,6.747770470598783,"WIFI,GSM"
JAVAML,RF,7.018556549591324,"WIFI,BLUETOOTH,GSM"
JSAT,KNN,7.24719981431751,WIFI
WEKA,NB,7.430723890850965,"WIFI,BLUETOOTH"
WEKA,NB,7.430723890850965,"WIFI,BLUETOOTH,GSM"
JAVAML,KNN,7.450890660018056,BLUETOOTH
JAVAML,KNN,7.637510492188352,"WIFI,BLUETOOTH"
WEKA,NB,8.068154060895116,BLUETOOTH
WEKA,NB,8.068154060895116,"BLUETOOTH,GSM"
JAVAML,RF,8.156113007290035,GSM
JAVAML,KNN,8.156113007290035,GSM
WEKA,KNN,8.560345657126703,BLUETOOTH
WEKA,KNN,8.712573694333491,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,8.754547081577238,WIFI
JSAT,KNN,10.105449442148222,GSM
JAVAML,KNN,10.314889760525697,"BLUETOOTH,GSM"
JSAT,KNN,10.566483299575536,"BLUETOOTH,GSM"
WEKA,NB,10.841280758726374,GSM
JSAT,NB,10.841280758726374,GSM
WEKA,RF,10.841280758726374,GSM
JSAT,RF,11.682646446408643,GSM
WEKA,KNN,13.188951887154468,GSM
JAVAML,NB,14.828733546194588,"BLUETOOTH,GSM"
JAVAML,NB,14.828733546194588,GSM
JAVAML,NB,14.912365227935146,WIFI
JAVAML,NB,14.912365227935146,"WIFI,GSM"
JAVAML,NB,14.912365227935146,"WIFI,BLUETOOTH"
JAVAML,NB,14.912365227935146,"WIFI,BLUETOOTH,GSM"
JAVAML,NB,14.923002021392568,BLUETOOTH
