framework,algorithm,p,signal_types
WEKA,KNN,70.0000,BLUETOOTH
JSAT,KNN,70.0000,BLUETOOTH
JAVAML,RF,70.0000,"WIFI,BLUETOOTH"
JSAT,RF,70.0000,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,70.0000,"WIFI,BLUETOOTH"
JSAT,NB,60.0000,WIFI
JAVAML,KNN,60.0000,BLUETOOTH
JAVAML,KNN,60.0000,WIFI
WEKA,RF,60.0000,"WIFI,BLUETOOTH,GSM"
JSAT,NB,60.0000,"WIFI,GSM"
JSAT,NB,60.0000,"WIFI,BLUETOOTH"
JAVAML,RF,60.0000,WIFI
JSAT,NB,60.0000,"WIFI,BLUETOOTH,GSM"
JAVAML,RF,50.0000,"WIFI,GSM"
WEKA,RF,50.0000,"WIFI,BLUETOOTH"
WEKA,KNN,50.0000,WIFI
JAVAML,RF,50.0000,BLUETOOTH
JSAT,RF,50.0000,BLUETOOTH
WEKA,RF,50.0000,WIFI
JSAT,KNN,50.0000,"WIFI,GSM"
JSAT,KNN,40.0000,"WIFI,BLUETOOTH"
JAVAML,NB,40.0000,WIFI
JSAT,NB,40.0000,"BLUETOOTH,GSM"
JSAT,RF,40.0000,"WIFI,BLUETOOTH"
JSAT,KNN,40.0000,WIFI
WEKA,RF,40.0000,BLUETOOTH
JAVAML,RF,40.0000,"WIFI,BLUETOOTH,GSM"
JAVAML,KNN,40.0000,"WIFI,GSM"
JSAT,RF,40.0000,WIFI
WEKA,RF,40.0000,"BLUETOOTH,GSM"
JAVAML,NB,40.0000,BLUETOOTH
JAVAML,KNN,40.0000,"WIFI,BLUETOOTH"
JSAT,NB,40.0000,BLUETOOTH
WEKA,NB,30.0000,WIFI
WEKA,KNN,30.0000,"WIFI,BLUETOOTH,GSM"
WEKA,RF,30.0000,"WIFI,GSM"
JSAT,KNN,30.0000,GSM
WEKA,NB,30.0000,"WIFI,GSM"
JAVAML,RF,30.0000,GSM
WEKA,KNN,30.0000,"BLUETOOTH,GSM"
WEKA,NB,30.0000,"WIFI,BLUETOOTH"
JAVAML,NB,30.0000,"WIFI,BLUETOOTH"
JSAT,KNN,30.0000,"BLUETOOTH,GSM"
WEKA,NB,30.0000,"WIFI,BLUETOOTH,GSM"
JAVAML,KNN,20.0000,GSM
JSAT,RF,20.0000,"BLUETOOTH,GSM"
JAVAML,KNN,20.0000,"WIFI,BLUETOOTH,GSM"
WEKA,NB,20.0000,"BLUETOOTH,GSM"
JSAT,KNN,20.0000,"WIFI,BLUETOOTH,GSM"
JSAT,RF,20.0000,"WIFI,GSM"
WEKA,RF,20.0000,GSM
JSAT,RF,20.0000,GSM
JAVAML,KNN,20.0000,"BLUETOOTH,GSM"
WEKA,NB,20.0000,GSM
WEKA,KNN,20.0000,"WIFI,GSM"
JSAT,NB,20.0000,GSM
WEKA,NB,20.0000,BLUETOOTH
JAVAML,RF,20.0000,"BLUETOOTH,GSM"
JAVAML,NB,10.0000,"BLUETOOTH,GSM"
JAVAML,NB,10.0000,"WIFI,GSM"
JAVAML,NB,10.0000,GSM
JAVAML,NB,10.0000,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,10.0000,GSM
