framework,algorithm,p,signal_types
WEKA,RF,90.0000,"WIFI,BLUETOOTH"
JSAT,NB,90.0000,"WIFI,BLUETOOTH"
JSAT,NB,90.0000,"WIFI,BLUETOOTH,GSM"
JSAT,NB,80.0000,WIFI
WEKA,RF,80.0000,"WIFI,BLUETOOTH,GSM"
JSAT,NB,80.0000,"WIFI,GSM"
JAVAML,RF,80.0000,"BLUETOOTH,GSM"
WEKA,RF,70.0000,"WIFI,GSM"
JAVAML,RF,70.0000,"WIFI,GSM"
JAVAML,RF,70.0000,"WIFI,BLUETOOTH"
JSAT,RF,70.0000,"WIFI,BLUETOOTH"
WEKA,RF,70.0000,WIFI
JAVAML,KNN,70.0000,"WIFI,GSM"
JAVAML,RF,70.0000,WIFI
WEKA,NB,60.0000,WIFI
JAVAML,KNN,60.0000,BLUETOOTH
JSAT,RF,60.0000,"WIFI,GSM"
JSAT,KNN,60.0000,BLUETOOTH
WEKA,NB,60.0000,"WIFI,GSM"
JAVAML,KNN,60.0000,WIFI
WEKA,RF,60.0000,BLUETOOTH
JSAT,RF,60.0000,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,60.0000,"WIFI,GSM"
JSAT,KNN,60.0000,"WIFI,GSM"
JSAT,RF,60.0000,WIFI
WEKA,RF,60.0000,"BLUETOOTH,GSM"
JSAT,KNN,50.0000,"WIFI,BLUETOOTH"
JAVAML,KNN,50.0000,"WIFI,BLUETOOTH,GSM"
JSAT,KNN,50.0000,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,50.0000,WIFI
JSAT,NB,50.0000,"BLUETOOTH,GSM"
JAVAML,RF,50.0000,"WIFI,BLUETOOTH,GSM"
JAVAML,RF,50.0000,BLUETOOTH
JSAT,KNN,50.0000,"BLUETOOTH,GSM"
WEKA,KNN,50.0000,"WIFI,BLUETOOTH"
JSAT,NB,50.0000,BLUETOOTH
JSAT,RF,40.0000,"BLUETOOTH,GSM"
JSAT,KNN,40.0000,GSM
WEKA,NB,40.0000,"BLUETOOTH,GSM"
WEKA,RF,40.0000,GSM
JSAT,KNN,40.0000,WIFI
WEKA,NB,40.0000,"WIFI,BLUETOOTH"
JAVAML,KNN,40.0000,"BLUETOOTH,GSM"
WEKA,NB,40.0000,GSM
JSAT,RF,40.0000,BLUETOOTH
WEKA,NB,40.0000,"WIFI,BLUETOOTH,GSM"
JSAT,NB,40.0000,GSM
WEKA,NB,40.0000,BLUETOOTH
JAVAML,KNN,30.0000,GSM
WEKA,KNN,30.0000,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,30.0000,BLUETOOTH
JAVAML,RF,30.0000,GSM
WEKA,KNN,30.0000,"BLUETOOTH,GSM"
WEKA,KNN,30.0000,GSM
JAVAML,KNN,30.0000,"WIFI,BLUETOOTH"
JAVAML,NB,20.0000,WIFI
JAVAML,NB,20.0000,"BLUETOOTH,GSM"
JAVAML,NB,20.0000,"WIFI,GSM"
JSAT,RF,20.0000,GSM
JAVAML,NB,20.0000,"WIFI,BLUETOOTH"
JAVAML,NB,20.0000,GSM
JAVAML,NB,20.0000,"WIFI,BLUETOOTH,GSM"
JAVAML,NB,20.0000,BLUETOOTH
