framework,algorithm,p,signal_types
WEKA,NB,74.5098,"WIFI,BLUETOOTH"
JSAT,NB,74.5098,"WIFI,BLUETOOTH"
WEKA,RF,74.5098,"WIFI,BLUETOOTH"
WEKA,NB,72.549,WIFI
JSAT,KNN,72.549,"WIFI,BLUETOOTH"
JSAT,NB,70.5882,"WIFI,BLUETOOTH,GSM"
WEKA,RF,68.6275,"WIFI,BLUETOOTH,GSM"
WEKA,RF,66.6667,WIFI
WEKA,KNN,66.6667,WIFI
JAVAML,RF,66.6667,"WIFI,BLUETOOTH"
JSAT,RF,66.6667,"WIFI,BLUETOOTH"
JSAT,NB,64.7059,"BLUETOOTH,GSM"
WEKA,NB,64.7059,"WIFI,GSM"
JSAT,KNN,62.7451,WIFI
WEKA,NB,62.7451,"WIFI,BLUETOOTH,GSM"
JSAT,RF,62.7451,WIFI
WEKA,KNN,62.7451,"WIFI,BLUETOOTH"
JSAT,NB,62.7451,BLUETOOTH
WEKA,RF,62.7451,"WIFI,GSM"
JSAT,RF,62.7451,"WIFI,GSM"
JAVAML,RF,60.7843,"WIFI,BLUETOOTH,GSM"
JSAT,NB,60.7843,"WIFI,GSM"
JSAT,RF,60.7843,"WIFI,BLUETOOTH,GSM"
JSAT,RF,60.7843,"BLUETOOTH,GSM"
JAVAML,RF,58.8235,WIFI
JSAT,NB,58.8235,WIFI
JAVAML,KNN,56.8627,"WIFI,BLUETOOTH"
JAVAML,KNN,56.8627,WIFI
WEKA,KNN,54.902,BLUETOOTH
JAVAML,RF,54.902,"WIFI,GSM"
JAVAML,NB,52.9412,"WIFI,BLUETOOTH"
WEKA,RF,52.9412,"BLUETOOTH,GSM"
WEKA,NB,52.9412,"BLUETOOTH,GSM"
JSAT,RF,50.9804,BLUETOOTH
JAVAML,RF,49.0196,BLUETOOTH
JAVAML,NB,49.0196,WIFI
JSAT,KNN,49.0196,BLUETOOTH
WEKA,RF,47.0588,BLUETOOTH
WEKA,NB,47.0588,BLUETOOTH
JAVAML,NB,47.0588,BLUETOOTH
JAVAML,KNN,47.0588,"WIFI,BLUETOOTH,GSM"
JAVAML,NB,45.098,"WIFI,BLUETOOTH,GSM"
JAVAML,KNN,43.1373,"BLUETOOTH,GSM"
JAVAML,KNN,43.1373,"WIFI,GSM"
JAVAML,RF,43.1373,"BLUETOOTH,GSM"
JAVAML,NB,41.1765,"WIFI,GSM"
JAVAML,KNN,41.1765,BLUETOOTH
JSAT,KNN,41.1765,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,39.2157,"WIFI,BLUETOOTH,GSM"
WEKA,RF,39.2157,GSM
JAVAML,RF,39.2157,GSM
WEKA,NB,37.2549,GSM
JSAT,KNN,37.2549,"BLUETOOTH,GSM"
JSAT,NB,37.2549,GSM
JSAT,KNN,37.2549,"WIFI,GSM"
JSAT,RF,35.2941,GSM
WEKA,KNN,35.2941,"BLUETOOTH,GSM"
JAVAML,NB,35.2941,"BLUETOOTH,GSM"
JSAT,KNN,31.3725,GSM
WEKA,KNN,29.4118,"WIFI,GSM"
WEKA,KNN,25.4902,GSM
JAVAML,KNN,23.5294,GSM
JAVAML,NB,17.6471,GSM
