framework,algorithm,p,signal_types
JSAT,RF,74.5098,WIFI
JAVAML,RF,72.549,"WIFI,BLUETOOTH,GSM"
JSAT,RF,72.549,"WIFI,BLUETOOTH,GSM"
JSAT,NB,72.549,WIFI
JSAT,RF,70.5882,"WIFI,GSM"
WEKA,RF,68.6275,WIFI
JSAT,NB,68.6275,"WIFI,BLUETOOTH"
JSAT,RF,68.6275,"WIFI,BLUETOOTH"
WEKA,RF,66.6667,BLUETOOTH
WEKA,RF,66.6667,"WIFI,BLUETOOTH"
WEKA,NB,66.6667,"WIFI,GSM"
WEKA,RF,64.7059,"BLUETOOTH,GSM"
JSAT,NB,64.7059,"WIFI,BLUETOOTH,GSM"
WEKA,NB,64.7059,WIFI
JAVAML,RF,64.7059,"WIFI,GSM"
WEKA,RF,62.7451,"WIFI,GSM"
WEKA,RF,60.7843,"WIFI,BLUETOOTH,GSM"
JSAT,NB,60.7843,"WIFI,GSM"
JSAT,KNN,60.7843,"WIFI,BLUETOOTH"
WEKA,NB,56.8627,"WIFI,BLUETOOTH"
WEKA,NB,56.8627,"WIFI,BLUETOOTH,GSM"
JSAT,NB,56.8627,BLUETOOTH
JAVAML,RF,56.8627,"WIFI,BLUETOOTH"
JAVAML,KNN,54.902,BLUETOOTH
JSAT,KNN,54.902,"WIFI,BLUETOOTH,GSM"
JSAT,NB,54.902,"BLUETOOTH,GSM"
JAVAML,KNN,52.9412,"BLUETOOTH,GSM"
JAVAML,KNN,52.9412,"WIFI,BLUETOOTH"
JAVAML,RF,50.9804,WIFI
JAVAML,KNN,50.9804,"WIFI,BLUETOOTH,GSM"
JSAT,KNN,50.9804,BLUETOOTH
JSAT,RF,49.0196,BLUETOOTH
JSAT,KNN,47.0588,"BLUETOOTH,GSM"
WEKA,NB,47.0588,BLUETOOTH
WEKA,NB,47.0588,"BLUETOOTH,GSM"
JSAT,RF,45.098,"BLUETOOTH,GSM"
WEKA,KNN,41.1765,"WIFI,GSM"
JAVAML,RF,41.1765,"BLUETOOTH,GSM"
JSAT,KNN,39.2157,WIFI
JAVAML,KNN,39.2157,"WIFI,GSM"
WEKA,RF,39.2157,GSM
JAVAML,KNN,39.2157,WIFI
JSAT,RF,37.2549,GSM
WEKA,NB,37.2549,GSM
JSAT,NB,37.2549,GSM
JSAT,KNN,37.2549,"WIFI,GSM"
JAVAML,RF,37.2549,GSM
JAVAML,RF,31.3725,BLUETOOTH
WEKA,KNN,31.3725,"WIFI,BLUETOOTH"
JSAT,KNN,31.3725,GSM
WEKA,KNN,29.4118,WIFI
WEKA,KNN,27.451,"BLUETOOTH,GSM"
WEKA,KNN,25.4902,GSM
JAVAML,KNN,25.4902,GSM
WEKA,KNN,23.5294,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,21.5686,BLUETOOTH
JAVAML,NB,11.7647,GSM
JAVAML,NB,9.8039,"WIFI,GSM"
JAVAML,NB,9.8039,"WIFI,BLUETOOTH"
JAVAML,NB,9.8039,"WIFI,BLUETOOTH,GSM"
JAVAML,NB,9.8039,BLUETOOTH
JAVAML,NB,9.8039,WIFI
JAVAML,NB,9.8039,"BLUETOOTH,GSM"
