average,algorithm,framework,signal_types
3.065749246507605,RF,JSAT,"WIFI,BLUETOOTH,GSM"
3.163295402227391,NB,JSAT,WIFI
3.171274011286926,RF,WEKA,"WIFI,BLUETOOTH"
3.190412685023633,RF,JSAT,WIFI
3.2005336296439397,RF,WEKA,WIFI
3.2362772920882494,RF,JSAT,"WIFI,GSM"
3.3807493717380073,RF,JAVAML,"WIFI,BLUETOOTH,GSM"
3.420069978438473,NB,WEKA,WIFI
3.450929227162636,NB,JSAT,"WIFI,BLUETOOTH"
3.4899635857570983,RF,JSAT,"WIFI,BLUETOOTH"
3.504108491986187,RF,JAVAML,"WIFI,GSM"
3.592862500848407,NB,WEKA,"WIFI,GSM"
3.61379466372298,NB,JSAT,"WIFI,BLUETOOTH,GSM"
3.6190885274749918,KNN,JSAT,"WIFI,BLUETOOTH"
3.6395951684122987,RF,WEKA,"WIFI,GSM"
3.6417666576870493,NB,JSAT,"WIFI,GSM"
3.809098476038893,RF,WEKA,"WIFI,BLUETOOTH,GSM"
3.951685359157235,RF,JAVAML,"WIFI,BLUETOOTH"
4.045204107247952,RF,WEKA,BLUETOOTH
4.195750359408397,KNN,JSAT,"WIFI,BLUETOOTH,GSM"
4.201707417212488,RF,JAVAML,WIFI
4.3446269173999,KNN,JAVAML,"WIFI,BLUETOOTH"
4.354401103995972,KNN,JAVAML,"WIFI,BLUETOOTH,GSM"
4.380529156051174,RF,WEKA,"BLUETOOTH,GSM"
4.427110626889798,KNN,JAVAML,WIFI
4.643652603930089,KNN,JSAT,WIFI
4.690118096968453,KNN,JSAT,"BLUETOOTH,GSM"
4.739366960274872,KNN,JSAT,BLUETOOTH
5.018650935182715,KNN,JSAT,"WIFI,GSM"
5.053150101373389,NB,JSAT,"BLUETOOTH,GSM"
5.116990288687876,NB,WEKA,"WIFI,BLUETOOTH"
5.1408162954265295,NB,WEKA,"WIFI,BLUETOOTH,GSM"
5.172895051552861,KNN,JAVAML,BLUETOOTH
5.253943206788314,RF,JAVAML,"BLUETOOTH,GSM"
5.30329841282928,RF,JSAT,BLUETOOTH
5.3585960902712175,KNN,JAVAML,"WIFI,GSM"
5.637292250879944,RF,JSAT,"BLUETOOTH,GSM"
5.683029652190485,KNN,JAVAML,"BLUETOOTH,GSM"
5.727086932540874,KNN,WEKA,"WIFI,GSM"
5.823936035873933,NB,JSAT,BLUETOOTH
6.096077057777871,NB,WEKA,"BLUETOOTH,GSM"
6.342162969049856,NB,WEKA,BLUETOOTH
6.824446668848676,KNN,WEKA,"WIFI,BLUETOOTH"
7.156759841266592,NB,JSAT,GSM
7.21907107917519,RF,WEKA,GSM
7.468511804300926,KNN,WEKA,WIFI
7.56579222450659,KNN,WEKA,BLUETOOTH
7.595474155822435,KNN,WEKA,"WIFI,BLUETOOTH,GSM"
7.898995820533563,RF,JAVAML,GSM
8.03600218680056,RF,JSAT,GSM
8.306570305970412,KNN,WEKA,"BLUETOOTH,GSM"
8.324347815014393,RF,JAVAML,BLUETOOTH
8.335824086011305,KNN,JAVAML,GSM
8.564207779816877,KNN,JSAT,GSM
9.031837453463126,NB,WEKA,GSM
11.550356906662923,KNN,WEKA,GSM
16.327786461977638,NB,JAVAML,GSM
17.207313835707854,NB,JAVAML,"BLUETOOTH,GSM"
17.215085993188847,NB,JAVAML,"WIFI,GSM"
17.215085993188847,NB,JAVAML,"WIFI,BLUETOOTH,GSM"
17.219391783169872,NB,JAVAML,"WIFI,BLUETOOTH"
17.219391783169872,NB,JAVAML,WIFI
17.22138525518497,NB,JAVAML,BLUETOOTH
