avg(a.cell_distance),algorithm,framework,signal_types
2.5580529548,NB,JSAT,"WIFI,BLUETOOTH"
2.6106009325,NB,WEKA,"WIFI,BLUETOOTH"
2.7161193257,KNN,JSAT,"WIFI,BLUETOOTH"
2.967654858,RF,WEKA,"WIFI,BLUETOOTH"
3.0371010778,NB,JSAT,WIFI
3.0381094093,NB,JSAT,"WIFI,BLUETOOTH,GSM"
3.2339103649,NB,WEKA,WIFI
3.3549296567,RF,JSAT,"WIFI,BLUETOOTH"
3.3593841143,KNN,WEKA,"WIFI,BLUETOOTH"
3.3787772752,RF,JAVAML,"WIFI,BLUETOOTH"
3.4097782285,NB,JSAT,"WIFI,GSM"
3.4254835376,RF,JAVAML,"WIFI,BLUETOOTH,GSM"
3.5166578789,KNN,WEKA,WIFI
3.5669001435,RF,WEKA,WIFI
3.615732558,KNN,JSAT,WIFI
3.6582861194,RF,JAVAML,WIFI
3.7366328577,RF,WEKA,"WIFI,GSM"
3.7579029403,NB,WEKA,"WIFI,BLUETOOTH,GSM"
3.8135347495,NB,JSAT,"BLUETOOTH,GSM"
3.8839224697,NB,WEKA,"WIFI,GSM"
3.8957580038,NB,JSAT,BLUETOOTH
3.9010355672,RF,WEKA,"WIFI,BLUETOOTH,GSM"
3.9418903269,KNN,JAVAML,"WIFI,BLUETOOTH"
3.9667053648,RF,JSAT,"WIFI,BLUETOOTH,GSM"
4.0666419223,KNN,JAVAML,WIFI
4.1390006624,RF,JSAT,"WIFI,GSM"
4.1927303961,NB,JAVAML,"WIFI,BLUETOOTH"
4.3286903601,RF,JSAT,WIFI
4.5231190739,RF,JAVAML,"WIFI,GSM"
4.5682739595,KNN,WEKA,BLUETOOTH
4.7531793611,RF,JSAT,BLUETOOTH
4.761015616,RF,WEKA,"BLUETOOTH,GSM"
4.9224472121,RF,JSAT,"BLUETOOTH,GSM"
5.085673664,RF,JAVAML,BLUETOOTH
5.0891325074,NB,JAVAML,WIFI
5.1702237634,NB,WEKA,"BLUETOOTH,GSM"
5.2619922176,RF,JAVAML,"BLUETOOTH,GSM"
5.2974160118,KNN,JSAT,BLUETOOTH
5.3855312694,NB,WEKA,BLUETOOTH
5.4813022154,RF,WEKA,BLUETOOTH
5.5927790776,NB,JAVAML,BLUETOOTH
5.8427707866,KNN,JAVAML,"WIFI,BLUETOOTH,GSM"
5.8874682354,KNN,JAVAML,"BLUETOOTH,GSM"
5.954508907,NB,JAVAML,"WIFI,BLUETOOTH,GSM"
6.0776478856,KNN,JAVAML,"WIFI,GSM"
6.4348720644,KNN,JAVAML,BLUETOOTH
6.4406776589,KNN,JSAT,"WIFI,BLUETOOTH,GSM"
6.9674827702,KNN,JSAT,"BLUETOOTH,GSM"
7.1055168266,RF,JAVAML,GSM
7.1567598413,NB,JSAT,GSM
7.4006997309,KNN,WEKA,"WIFI,BLUETOOTH,GSM"
7.4231563734,RF,WEKA,GSM
7.6408468643,NB,JAVAML,"WIFI,GSM"
7.7056774974,KNN,JSAT,"WIFI,GSM"
8.4880580472,KNN,JAVAML,GSM
8.5642077798,KNN,JSAT,GSM
8.6453876845,RF,JSAT,GSM
9.0318374535,NB,WEKA,GSM
9.2590163277,KNN,WEKA,"BLUETOOTH,GSM"
9.9710112401,KNN,WEKA,"WIFI,GSM"
10.40840025,NB,JAVAML,"BLUETOOTH,GSM"
11.5503569067,KNN,WEKA,GSM
14.1641509981,NB,JAVAML,GSM
