framework,cell_distance
JAVAML,1
JAVAML,8.0622577483
JAVAML,5.3851648071
JAVAML,2.2360679775
JAVAML,3.1622776602
JAVAML,1.4142135624
JAVAML,2.2360679775
JAVAML,1.4142135624
JAVAML,1
JAVAML,2
JAVAML,3.1622776602
JAVAML,4.1231056256
JAVAML,14.1421356237
JAVAML,24.0208242989
JAVAML,6
JAVAML,21.0237960416
JAVAML,20
JAVAML,17
JAVAML,9
JAVAML,4
JAVAML,3.6055512755
JAVAML,2
JAVAML,13.0384048104
JAVAML,11.1803398875
JAVAML,1
JAVAML,6
JAVAML,4.1231056256
JAVAML,9.2195444573
JAVAML,6
JAVAML,2.2360679775
JAVAML,3.1622776602
JAVAML,4.472135955
JAVAML,3.1622776602
JAVAML,2.8284271247
JAVAML,1
JAVAML,0
JAVAML,1.4142135624
JAVAML,1.4142135624
JAVAML,2.2360679775
JAVAML,2.2360679775
JAVAML,2
JAVAML,4.472135955
JAVAML,2
JAVAML,1
JAVAML,0
JAVAML,5
JAVAML,2
JAVAML,1
JAVAML,4.472135955
JAVAML,3.1622776602
JAVAML,8
JSAT,2.8284271247
JSAT,8.0622577483
JSAT,4
JSAT,2.2360679775
JSAT,11.0453610172
JSAT,2
JSAT,2.2360679775
JSAT,1
JSAT,1
JSAT,2
JSAT,3.1622776602
JSAT,4.1231056256
JSAT,2.2360679775
JSAT,24.0208242989
JSAT,6
JSAT,10.0498756211
JSAT,9.2195444573
JSAT,9
JSAT,9
JSAT,4
JSAT,3.6055512755
JSAT,2
JSAT,13.0384048104
JSAT,2.2360679775
JSAT,1
JSAT,6
JSAT,4.1231056256
JSAT,9.2195444573
JSAT,6
JSAT,2.2360679775
JSAT,1.4142135624
JSAT,0
JSAT,3.1622776602
JSAT,8
JSAT,4.472135955
JSAT,2.8284271247
JSAT,3.1622776602
JSAT,3.6055512755
JSAT,2.2360679775
JSAT,9
JSAT,2
JSAT,4.472135955
JSAT,2
JSAT,1
JSAT,0
JSAT,5
JSAT,2
JSAT,1
JSAT,4.472135955
JSAT,3.1622776602
JSAT,12.0415945788
WEKA,8.2462112512
WEKA,14
WEKA,11.0453610172
WEKA,1.4142135624
WEKA,10.0498756211
WEKA,16.1245154966
WEKA,4.1231056256
WEKA,7.0710678119
WEKA,6
WEKA,8.2462112512
WEKA,5.3851648071
WEKA,14
WEKA,12.1655250606
WEKA,11.0453610172
WEKA,9
WEKA,10.0498756211
WEKA,9.2195444573
WEKA,9
WEKA,10.0498756211
WEKA,5
WEKA,6.3245553203
WEKA,1
WEKA,1.4142135624
WEKA,2.8284271247
WEKA,2
WEKA,1
WEKA,1.4142135624
WEKA,1
WEKA,3
WEKA,4.472135955
WEKA,5.0990195136
WEKA,5.3851648071
WEKA,6.0827625303
WEKA,8
WEKA,6
WEKA,8.2462112512
WEKA,7.0710678119
WEKA,7
WEKA,9.0553851381
WEKA,10.1980390272
WEKA,10
WEKA,11
WEKA,11.1803398875
WEKA,12.0415945788
WEKA,14.1421356237
WEKA,13.0384048104
WEKA,16.1245154966
WEKA,14.1421356237
WEKA,0
WEKA,2.2360679775
WEKA,4.1231056256
