framework,cell_distance
JAVAML,8.2462112512
JAVAML,10.0498756211
JAVAML,24.0831891576
JAVAML,2.2360679775
JAVAML,4.1231056256
JAVAML,2
JAVAML,7.0710678119
JAVAML,1
JAVAML,2.2360679775
JAVAML,1
JAVAML,3.1622776602
JAVAML,18.1107702763
JAVAML,10.1980390272
JAVAML,22.0227155455
JAVAML,18
JAVAML,21.0237960416
JAVAML,11.1803398875
JAVAML,11
JAVAML,17.0293863659
JAVAML,4
JAVAML,3.6055512755
JAVAML,2
JAVAML,7.0710678119
JAVAML,3.1622776602
JAVAML,3.6055512755
JAVAML,6
JAVAML,4.1231056256
JAVAML,3
JAVAML,2.8284271247
JAVAML,1
JAVAML,2.2360679775
JAVAML,0
JAVAML,1.4142135624
JAVAML,7.0710678119
JAVAML,3
JAVAML,4
JAVAML,2
JAVAML,5
JAVAML,2.2360679775
JAVAML,2
JAVAML,2
JAVAML,3
JAVAML,1
JAVAML,2
JAVAML,0
JAVAML,1
JAVAML,2
JAVAML,1
JAVAML,4.472135955
JAVAML,2.2360679775
JAVAML,8
JSAT,8.2462112512
JSAT,8.0622577483
JSAT,3.6055512755
JSAT,2.2360679775
JSAT,4.1231056256
JSAT,2
JSAT,1.4142135624
JSAT,1
JSAT,2.2360679775
JSAT,1
JSAT,3.1622776602
JSAT,11
JSAT,10.1980390272
JSAT,9.0553851381
JSAT,12.0415945788
JSAT,10.0498756211
JSAT,11.1803398875
JSAT,11
JSAT,9
JSAT,4
JSAT,3.6055512755
JSAT,2
JSAT,9.0553851381
JSAT,3.6055512755
JSAT,2.2360679775
JSAT,6
JSAT,1
JSAT,1.4142135624
JSAT,2.8284271247
JSAT,1
JSAT,6.0827625303
JSAT,0
JSAT,5.0990195136
JSAT,7.0710678119
JSAT,8.2462112512
JSAT,9.2195444573
JSAT,7.0710678119
JSAT,5
JSAT,2.2360679775
JSAT,4.472135955
JSAT,2
JSAT,3
JSAT,1
JSAT,1.4142135624
JSAT,0
JSAT,1
JSAT,2
JSAT,1
JSAT,4.472135955
JSAT,2.2360679775
JSAT,9.2195444573
WEKA,2.2360679775
WEKA,8
WEKA,3
WEKA,7.0710678119
WEKA,16
WEKA,22.0227155455
WEKA,6
WEKA,8
WEKA,7.0710678119
WEKA,9.0553851381
WEKA,6.0827625303
WEKA,5.0990195136
WEKA,11.1803398875
WEKA,3
WEKA,2.2360679775
WEKA,2
WEKA,1.4142135624
WEKA,19
WEKA,9.0553851381
WEKA,2.2360679775
WEKA,6.3245553203
WEKA,0
WEKA,1.4142135624
WEKA,3.6055512755
WEKA,2.8284271247
WEKA,7.0710678119
WEKA,9
WEKA,2
WEKA,4
WEKA,12.0415945788
WEKA,5.0990195136
WEKA,5.3851648071
WEKA,6.0827625303
WEKA,8
WEKA,2.2360679775
WEKA,9
WEKA,9.0553851381
WEKA,10.1980390272
WEKA,11.0453610172
WEKA,10
WEKA,10
WEKA,12.1655250606
WEKA,20.0249843945
WEKA,12.0415945788
WEKA,12
WEKA,22
WEKA,23.0217288664
WEKA,23.0217288664
WEKA,2
WEKA,3.1622776602
WEKA,10.0498756211
