framework,cell_distance
JAVAML,15
JAVAML,10.0498756211
JAVAML,7
JAVAML,16.0312195419
JAVAML,3.1622776602
JAVAML,2.2360679775
JAVAML,16
JAVAML,15.0332963784
JAVAML,2.8284271247
JAVAML,13
JAVAML,9.2195444573
JAVAML,5
JAVAML,6.3245553203
JAVAML,12
JAVAML,19
JAVAML,13.0384048104
JAVAML,14
JAVAML,11.0453610172
JAVAML,1
JAVAML,10.0498756211
JAVAML,2.2360679775
JAVAML,9.0553851381
JAVAML,7.0710678119
JAVAML,6.3245553203
JAVAML,6
JAVAML,10.0498756211
JAVAML,4.1231056256
JAVAML,9
JAVAML,10.1980390272
JAVAML,11
JAVAML,12.0415945788
JAVAML,12
JAVAML,8
JAVAML,9.0553851381
JAVAML,2.2360679775
JAVAML,2
JAVAML,1
JAVAML,1
JAVAML,11.0453610172
JAVAML,20.0249843945
JAVAML,0
JAVAML,17
JAVAML,18
JAVAML,6.0827625303
JAVAML,6.0827625303
JAVAML,5
JAVAML,6.0827625303
JAVAML,1
JAVAML,6
JAVAML,3.1622776602
JAVAML,2.2360679775
JSAT,24.0831891576
JSAT,10.0498756211
JSAT,23.0217288664
JSAT,16.0312195419
JSAT,1
JSAT,2.2360679775
JSAT,2.2360679775
JSAT,30
JSAT,2.8284271247
JSAT,13
JSAT,2.8284271247
JSAT,5
JSAT,6.3245553203
JSAT,12
JSAT,4
JSAT,13.0384048104
JSAT,1
JSAT,11.0453610172
JSAT,1
JSAT,10.0498756211
JSAT,2.2360679775
JSAT,9.0553851381
JSAT,9.0553851381
JSAT,6.3245553203
JSAT,6
JSAT,6
JSAT,4.1231056256
JSAT,9
JSAT,10.1980390272
JSAT,11
JSAT,12.0415945788
JSAT,12
JSAT,8
JSAT,9.0553851381
JSAT,2.2360679775
JSAT,2
JSAT,1
JSAT,1
JSAT,11.0453610172
JSAT,20.0249843945
JSAT,0
JSAT,27
JSAT,18
JSAT,6.0827625303
JSAT,6.0827625303
JSAT,12.0415945788
JSAT,13
JSAT,1
JSAT,6
JSAT,3.1622776602
JSAT,2.2360679775
WEKA,20
WEKA,26.0192236625
WEKA,23.0867927612
WEKA,11
WEKA,2.2360679775
WEKA,4
WEKA,6
WEKA,8
WEKA,25.079872408
WEKA,1
WEKA,24
WEKA,5
WEKA,22.0907220344
WEKA,3.1622776602
WEKA,20
WEKA,20.0249843945
WEKA,19.1049731745
WEKA,19
WEKA,18.0277563773
WEKA,2
WEKA,15.1327459504
WEKA,14
WEKA,5.0990195136
WEKA,12.1655250606
WEKA,15.0332963784
WEKA,11
WEKA,9.0553851381
WEKA,19.0262975904
WEKA,20.0249843945
WEKA,12.1655250606
WEKA,5.0990195136
WEKA,5.3851648071
WEKA,14.0356688476
WEKA,15
WEKA,3.6055512755
WEKA,2.8284271247
WEKA,2.2360679775
WEKA,1
WEKA,1
WEKA,2
WEKA,1
WEKA,2
WEKA,20.0249843945
WEKA,3.1622776602
WEKA,3
WEKA,22
WEKA,23.0217288664
WEKA,23.0217288664
WEKA,10
WEKA,8.0622577483
WEKA,10.0498756211
