framework,cell_distance
JAVAML,7
JAVAML,9.0553851381
JAVAML,7
JAVAML,5.3851648071
JAVAML,9.0553851381
JAVAML,0
JAVAML,13.0384048104
JAVAML,6.0827625303
JAVAML,6
JAVAML,6.3245553203
JAVAML,3.6055512755
JAVAML,7.2801098893
JAVAML,6
JAVAML,4.1231056256
JAVAML,7
JAVAML,5.0990195136
JAVAML,6.3245553203
JAVAML,6
JAVAML,1.4142135624
JAVAML,2.2360679775
JAVAML,3.1622776602
JAVAML,0
JAVAML,1
JAVAML,2
JAVAML,3
JAVAML,10.1980390272
JAVAML,1.4142135624
JAVAML,9.2195444573
JAVAML,3
JAVAML,3.6055512755
JAVAML,1
JAVAML,1
JAVAML,2.2360679775
JAVAML,1.4142135624
JAVAML,5
JAVAML,7.0710678119
JAVAML,1
JAVAML,6.0827625303
JAVAML,4
JAVAML,0
JAVAML,3.6055512755
JAVAML,1
JAVAML,3
JAVAML,4.1231056256
JAVAML,7.0710678119
JAVAML,6.0827625303
JAVAML,4.472135955
JAVAML,1
JAVAML,2
JAVAML,5
JAVAML,5
JSAT,7
JSAT,1
JSAT,7
JSAT,5.3851648071
JSAT,9.0553851381
JSAT,0
JSAT,13.0384048104
JSAT,6.0827625303
JSAT,2.8284271247
JSAT,6.3245553203
JSAT,3.6055512755
JSAT,4.1231056256
JSAT,5.0990195136
JSAT,4.1231056256
JSAT,7
JSAT,1.4142135624
JSAT,3.6055512755
JSAT,3
JSAT,1.4142135624
JSAT,5
JSAT,3.1622776602
JSAT,5
JSAT,4.1231056256
JSAT,2
JSAT,2
JSAT,2.2360679775
JSAT,1.4142135624
JSAT,9.2195444573
JSAT,3
JSAT,3.6055512755
JSAT,1
JSAT,18.1107702763
JSAT,2.2360679775
JSAT,18.1107702763
JSAT,5
JSAT,7.0710678119
JSAT,1
JSAT,6.0827625303
JSAT,4
JSAT,0
JSAT,3.6055512755
JSAT,1
JSAT,3
JSAT,4.1231056256
JSAT,7.0710678119
JSAT,6.0827625303
JSAT,4.472135955
JSAT,1
JSAT,2
JSAT,5
JSAT,5
WEKA,3
WEKA,8.0622577483
WEKA,3.1622776602
WEKA,15.0332963784
WEKA,16.0312195419
WEKA,9
WEKA,6.0827625303
WEKA,8.0622577483
WEKA,7
WEKA,1.4142135624
WEKA,2.2360679775
WEKA,5.3851648071
WEKA,4
WEKA,3.1622776602
WEKA,2.8284271247
WEKA,2.2360679775
WEKA,1
WEKA,2.2360679775
WEKA,1
WEKA,2.8284271247
WEKA,3
WEKA,4.472135955
WEKA,5.0990195136
WEKA,6
WEKA,3
WEKA,7.2801098893
WEKA,9.0553851381
WEKA,10
WEKA,11.1803398875
WEKA,12
WEKA,0
WEKA,13
WEKA,14.0356688476
WEKA,20
WEKA,20.0997512422
WEKA,3.1622776602
WEKA,7.0710678119
WEKA,4.1231056256
WEKA,5.0990195136
WEKA,18
WEKA,6
WEKA,11
WEKA,7.0710678119
WEKA,8
WEKA,8
WEKA,13.0384048104
WEKA,10
WEKA,10.0498756211
WEKA,8.2462112512
WEKA,10.0498756211
WEKA,10
