framework,cell_distance
JAVAML,7
JAVAML,9.0553851381
JAVAML,7
JAVAML,5.3851648071
JAVAML,3.1622776602
JAVAML,1
JAVAML,8.0622577483
JAVAML,6.0827625303
JAVAML,5.0990195136
JAVAML,11.1803398875
JAVAML,8.2462112512
JAVAML,7
JAVAML,10
JAVAML,4.1231056256
JAVAML,20.0249843945
JAVAML,5.0990195136
JAVAML,11.0453610172
JAVAML,11.0453610172
JAVAML,1.4142135624
JAVAML,2
JAVAML,3.1622776602
JAVAML,4.1231056256
JAVAML,4.1231056256
JAVAML,2
JAVAML,3
JAVAML,6.0827625303
JAVAML,8.0622577483
JAVAML,9.2195444573
JAVAML,2
JAVAML,3.6055512755
JAVAML,1
JAVAML,18.1107702763
JAVAML,1
JAVAML,5.3851648071
JAVAML,2.2360679775
JAVAML,3.6055512755
JAVAML,7
JAVAML,6.0827625303
JAVAML,4
JAVAML,3.1622776602
JAVAML,3.6055512755
JAVAML,1
JAVAML,3
JAVAML,2
JAVAML,3.1622776602
JAVAML,7.0710678119
JAVAML,4.472135955
JAVAML,1
JAVAML,2
JAVAML,3.1622776602
JAVAML,2.8284271247
JSAT,7
JSAT,1
JSAT,7
JSAT,5.3851648071
JSAT,9.0553851381
JSAT,1
JSAT,8.0622577483
JSAT,6.0827625303
JSAT,5.0990195136
JSAT,1.4142135624
JSAT,8.2462112512
JSAT,7
JSAT,10
JSAT,4.1231056256
JSAT,6
JSAT,5.0990195136
JSAT,3.6055512755
JSAT,7
JSAT,1.4142135624
JSAT,5
JSAT,3.1622776602
JSAT,8
JSAT,4.1231056256
JSAT,5.3851648071
JSAT,3
JSAT,2.2360679775
JSAT,9.0553851381
JSAT,9.2195444573
JSAT,2
JSAT,3.6055512755
JSAT,1
JSAT,18.1107702763
JSAT,1
JSAT,5.3851648071
JSAT,5
JSAT,3.6055512755
JSAT,7
JSAT,6.0827625303
JSAT,4
JSAT,3.1622776602
JSAT,3.6055512755
JSAT,1
JSAT,3
JSAT,2
JSAT,3.1622776602
JSAT,17
JSAT,4.472135955
JSAT,1
JSAT,2
JSAT,3.1622776602
JSAT,2.8284271247
WEKA,2.8284271247
WEKA,8.0622577483
WEKA,14.1421356237
WEKA,2
WEKA,3.1622776602
WEKA,9
WEKA,3.1622776602
WEKA,17.0293863659
WEKA,7
WEKA,1.4142135624
WEKA,15
WEKA,14
WEKA,4
WEKA,12.0415945788
WEKA,2.8284271247
WEKA,2.2360679775
WEKA,1
WEKA,2.2360679775
WEKA,1
WEKA,7
WEKA,6.3245553203
WEKA,5
WEKA,4.1231056256
WEKA,3.6055512755
WEKA,7
WEKA,6
WEKA,1
WEKA,10
WEKA,2
WEKA,3.6055512755
WEKA,1
WEKA,2
WEKA,1.4142135624
WEKA,2
WEKA,2.8284271247
WEKA,3.6055512755
WEKA,3.1622776602
WEKA,4
WEKA,9.0553851381
WEKA,9.2195444573
WEKA,6
WEKA,11
WEKA,7.2801098893
WEKA,8.0622577483
WEKA,8
WEKA,9.0553851381
WEKA,10
WEKA,10.1980390272
WEKA,1
WEKA,3.1622776602
WEKA,2.2360679775
