framework,cell_distance
JAVAML,7
JAVAML,1.4142135624
JAVAML,4.472135955
JAVAML,16
JAVAML,25.0199920064
JAVAML,31
JAVAML,15.0332963784
JAVAML,1.4142135624
JAVAML,2.8284271247
JAVAML,0
JAVAML,3
JAVAML,4
JAVAML,5.3851648071
JAVAML,6.0827625303
JAVAML,7
JAVAML,7.0710678119
JAVAML,8.2462112512
JAVAML,8
JAVAML,9.0553851381
JAVAML,11
JAVAML,12.1655250606
JAVAML,13
JAVAML,14.0356688476
JAVAML,15.1327459504
JAVAML,15
JAVAML,16
JAVAML,18.0277563773
JAVAML,19.1049731745
JAVAML,20
JAVAML,21.0950231097
JAVAML,22.0227155455
JAVAML,22.0907220344
JAVAML,23.0217288664
JAVAML,24
JAVAML,24.0831891576
JAVAML,25.079872408
JAVAML,25.0199920064
JAVAML,26
JAVAML,27.0185121722
JAVAML,27.0739727414
JAVAML,28
JAVAML,29
JAVAML,29.0688837075
JAVAML,30.0166620396
JAVAML,30
JAVAML,31.0161248385
JAVAML,32
JAVAML,32.0624390838
JAVAML,17
JAVAML,19.0262975904
JAVAML,19.1049731745
JSAT,3.6055512755
JSAT,3.1622776602
JSAT,5.0990195136
JSAT,1.4142135624
JSAT,10.0498756211
JSAT,16
JSAT,2.2360679775
JSAT,20.0249843945
JSAT,19
JSAT,2.2360679775
JSAT,18.1107702763
JSAT,17.1172427686
JSAT,16
JSAT,15.0332963784
JSAT,19.0262975904
JSAT,14.0356688476
JSAT,13
JSAT,13.152946438
JSAT,7.0710678119
JSAT,4.472135955
JSAT,5.3851648071
JSAT,0
JSAT,1.4142135624
JSAT,3
JSAT,2
JSAT,1
JSAT,1.4142135624
JSAT,3.1622776602
JSAT,3.1622776602
JSAT,2.2360679775
JSAT,0
JSAT,2.2360679775
JSAT,3.1622776602
JSAT,2.2360679775
JSAT,2.2360679775
JSAT,2.2360679775
JSAT,3
JSAT,3.6055512755
JSAT,2.2360679775
JSAT,6.3245553203
JSAT,4.472135955
JSAT,1
JSAT,2
JSAT,1.4142135624
JSAT,2
JSAT,1
JSAT,3.6055512755
JSAT,3
JSAT,1
JSAT,3.1622776602
JSAT,4.472135955
WEKA,8.2462112512
WEKA,14
WEKA,11.0453610172
WEKA,1.4142135624
WEKA,10.0498756211
WEKA,16
WEKA,2.2360679775
WEKA,18.0277563773
WEKA,17.1172427686
WEKA,18.0277563773
WEKA,16
WEKA,12.1655250606
WEKA,14.1421356237
WEKA,13.0384048104
WEKA,14.1421356237
WEKA,12.0415945788
WEKA,11.1803398875
WEKA,11
WEKA,7.0710678119
WEKA,4.1231056256
WEKA,5.3851648071
WEKA,0
WEKA,1.4142135624
WEKA,3
WEKA,2
WEKA,5
WEKA,2.2360679775
WEKA,3.1622776602
WEKA,1
WEKA,2
WEKA,1.4142135624
WEKA,2.2360679775
WEKA,3.1622776602
WEKA,2.2360679775
WEKA,2.2360679775
WEKA,4.472135955
WEKA,2.2360679775
WEKA,4
WEKA,6.0827625303
WEKA,6.3245553203
WEKA,2
WEKA,6.3245553203
WEKA,3.1622776602
WEKA,2
WEKA,3.1622776602
WEKA,1
WEKA,5.0990195136
WEKA,1
WEKA,2.2360679775
WEKA,1.4142135624
WEKA,5.3851648071
