framework,cell_distance
JAVAML,7.0710678119
JAVAML,1
JAVAML,4.1231056256
JAVAML,16.0312195419
JAVAML,25
JAVAML,31.0161248385
JAVAML,15
JAVAML,1.4142135624
JAVAML,2.8284271247
JAVAML,1
JAVAML,3
JAVAML,4
JAVAML,5.0990195136
JAVAML,6.0827625303
JAVAML,7
JAVAML,7
JAVAML,8.2462112512
JAVAML,8.0622577483
JAVAML,9
JAVAML,11.0453610172
JAVAML,12.0415945788
JAVAML,13.0384048104
JAVAML,14
JAVAML,15.0332963784
JAVAML,15
JAVAML,16.0312195419
JAVAML,18
JAVAML,19.0262975904
JAVAML,20.0249843945
JAVAML,21.0237960416
JAVAML,22.0227155455
JAVAML,22.0227155455
JAVAML,23.0217288664
JAVAML,24.0208242989
JAVAML,24.0208242989
JAVAML,25.0199920064
JAVAML,25
JAVAML,26.0192236625
JAVAML,27
JAVAML,27.0185121722
JAVAML,28
JAVAML,29
JAVAML,29.0172362571
JAVAML,30
JAVAML,30
JAVAML,31.0161248385
JAVAML,32.0156211872
JAVAML,32.0624390838
JAVAML,17.0293863659
JAVAML,19
JAVAML,19.0262975904
JSAT,8.2462112512
JSAT,3.1622776602
JSAT,6.3245553203
JSAT,1.4142135624
JSAT,10.0498756211
JSAT,19
JSAT,4.1231056256
JSAT,18.0277563773
JSAT,1
JSAT,4
JSAT,1
JSAT,5
JSAT,14.1421356237
JSAT,13.0384048104
JSAT,19.0262975904
JSAT,12.0415945788
JSAT,11.1803398875
JSAT,11
JSAT,7.0710678119
JSAT,2
JSAT,5
JSAT,1
JSAT,1.4142135624
JSAT,3
JSAT,1
JSAT,4
JSAT,2.2360679775
JSAT,3.1622776602
JSAT,3
JSAT,2.2360679775
JSAT,4
JSAT,2.2360679775
JSAT,3.1622776602
JSAT,2
JSAT,2.2360679775
JSAT,3.1622776602
JSAT,3
JSAT,4.1231056256
JSAT,8.0622577483
JSAT,6.3245553203
JSAT,4.472135955
JSAT,3
JSAT,2
JSAT,0
JSAT,2.2360679775
JSAT,1.4142135624
JSAT,2
JSAT,0
JSAT,1
JSAT,1
JSAT,5.3851648071
WEKA,8.2462112512
WEKA,14
WEKA,11.0453610172
WEKA,1.4142135624
WEKA,10.0498756211
WEKA,19
WEKA,2.2360679775
WEKA,16.0312195419
WEKA,17.1172427686
WEKA,18.0277563773
WEKA,16
WEKA,5
WEKA,13.0384048104
WEKA,12
WEKA,13
WEKA,12.0415945788
WEKA,11.1803398875
WEKA,11
WEKA,7.0710678119
WEKA,2
WEKA,5
WEKA,3.6055512755
WEKA,2.2360679775
WEKA,3
WEKA,2
WEKA,5
WEKA,2.2360679775
WEKA,3.1622776602
WEKA,1
WEKA,2
WEKA,4
WEKA,4.1231056256
WEKA,3.1622776602
WEKA,3
WEKA,2.2360679775
WEKA,3.1622776602
WEKA,3
WEKA,4.1231056256
WEKA,5
WEKA,6.3245553203
WEKA,2
WEKA,3
WEKA,3.6055512755
WEKA,2.2360679775
WEKA,2
WEKA,1.4142135624
WEKA,2
WEKA,0
WEKA,2.2360679775
WEKA,1.4142135624
WEKA,4.1231056256
