framework,cell_distance
JAVAML,7.0710678119
JAVAML,1
JAVAML,4.1231056256
JAVAML,16.0312195419
JAVAML,25.0199920064
JAVAML,31
JAVAML,15.0332963784
JAVAML,1.4142135624
JAVAML,2.8284271247
JAVAML,1
JAVAML,3
JAVAML,4.1231056256
JAVAML,5.0990195136
JAVAML,6.0827625303
JAVAML,7
JAVAML,7.0710678119
JAVAML,8.0622577483
JAVAML,8.0622577483
JAVAML,9
JAVAML,11.0453610172
JAVAML,12.0415945788
JAVAML,13
JAVAML,14.0356688476
JAVAML,15.1327459504
JAVAML,15
JAVAML,16.0312195419
JAVAML,18
JAVAML,19.0262975904
JAVAML,20.0249843945
JAVAML,21.0237960416
JAVAML,22.0227155455
JAVAML,22.0907220344
JAVAML,23.0217288664
JAVAML,24
JAVAML,24.0831891576
JAVAML,25.079872408
JAVAML,25.0199920064
JAVAML,26.0192236625
JAVAML,27.0185121722
JAVAML,27.0739727414
JAVAML,28
JAVAML,29.0172362571
JAVAML,29.0172362571
JAVAML,30.0166620396
JAVAML,30
JAVAML,31.0161248385
JAVAML,32
JAVAML,32.0624390838
JAVAML,17
JAVAML,19
JAVAML,19.0262975904
JSAT,5
JSAT,3.1622776602
JSAT,3
JSAT,4
JSAT,3.1622776602
JSAT,1.4142135624
JSAT,4.1231056256
JSAT,18.0277563773
JSAT,2
JSAT,2.2360679775
JSAT,2
JSAT,5
JSAT,4.472135955
JSAT,6.0827625303
JSAT,5
JSAT,10.0498756211
JSAT,9
JSAT,11
JSAT,8.0622577483
JSAT,1
JSAT,5
JSAT,1
JSAT,1.4142135624
JSAT,5.3851648071
JSAT,1
JSAT,3
JSAT,2.2360679775
JSAT,2.2360679775
JSAT,2.2360679775
JSAT,1.4142135624
JSAT,1
JSAT,2
JSAT,3.1622776602
JSAT,2
JSAT,2.2360679775
JSAT,3.1622776602
JSAT,3
JSAT,4.1231056256
JSAT,5
JSAT,5.3851648071
JSAT,0
JSAT,1
JSAT,1.4142135624
JSAT,2.2360679775
JSAT,2.2360679775
JSAT,1.4142135624
JSAT,0
JSAT,2
JSAT,0
JSAT,1
JSAT,9.2195444573
WEKA,3.6055512755
WEKA,3.1622776602
WEKA,0
WEKA,7
WEKA,13.0384048104
WEKA,19.1049731745
WEKA,2.2360679775
WEKA,18.0277563773
WEKA,16.0312195419
WEKA,8.2462112512
WEKA,5.3851648071
WEKA,5
WEKA,13.0384048104
WEKA,13.0384048104
WEKA,11.1803398875
WEKA,12.0415945788
WEKA,11.1803398875
WEKA,11
WEKA,7.0710678119
WEKA,2
WEKA,5
WEKA,3.6055512755
WEKA,2.2360679775
WEKA,3
WEKA,3
WEKA,2
WEKA,0
WEKA,3.1622776602
WEKA,2.2360679775
WEKA,1.4142135624
WEKA,1
WEKA,2
WEKA,3.1622776602
WEKA,6.0827625303
WEKA,2.2360679775
WEKA,3.1622776602
WEKA,3
WEKA,4.1231056256
WEKA,5
WEKA,1
WEKA,2
WEKA,1
WEKA,1
WEKA,2
WEKA,2.2360679775
WEKA,1.4142135624
WEKA,2
WEKA,1
WEKA,2.2360679775
WEKA,3.1622776602
WEKA,6.3245553203
