framework,cell_distance
JAVAML,3.6055512755
JAVAML,14
JAVAML,5.3851648071
JAVAML,2.2360679775
JAVAML,25.0199920064
JAVAML,31
JAVAML,2.2360679775
JAVAML,1.4142135624
JAVAML,1
JAVAML,3.6055512755
JAVAML,3
JAVAML,4
JAVAML,1
JAVAML,14.0356688476
JAVAML,4
JAVAML,9.0553851381
JAVAML,8.2462112512
JAVAML,5.3851648071
JAVAML,9
JAVAML,7.2801098893
JAVAML,3.6055512755
JAVAML,2
JAVAML,1.4142135624
JAVAML,3.6055512755
JAVAML,1
JAVAML,2
JAVAML,5.0990195136
JAVAML,1.4142135624
JAVAML,2
JAVAML,2.2360679775
JAVAML,22.0227155455
JAVAML,8.2462112512
JAVAML,6.0827625303
JAVAML,11
JAVAML,4.472135955
JAVAML,4
JAVAML,7.0710678119
JAVAML,10
JAVAML,6.0827625303
JAVAML,6.3245553203
JAVAML,4
JAVAML,29
JAVAML,29.0688837075
JAVAML,18.0277563773
JAVAML,12
JAVAML,1
JAVAML,18
JAVAML,32.0624390838
JAVAML,1
JAVAML,3.1622776602
JAVAML,13.0384048104
JSAT,2
JSAT,2.2360679775
JSAT,4.472135955
JSAT,1.4142135624
JSAT,4.1231056256
JSAT,2
JSAT,15.0332963784
JSAT,1
JSAT,2.2360679775
JSAT,1
JSAT,2
JSAT,2.2360679775
JSAT,9.0553851381
JSAT,0
JSAT,6.3245553203
JSAT,6.0827625303
JSAT,5
JSAT,6.0827625303
JSAT,5
JSAT,3.1622776602
JSAT,1
JSAT,2
JSAT,1.4142135624
JSAT,2
JSAT,15
JSAT,2
JSAT,18.0277563773
JSAT,13.0384048104
JSAT,12.0415945788
JSAT,3.6055512755
JSAT,10
JSAT,10.0498756211
JSAT,23.0217288664
JSAT,8.0622577483
JSAT,8.0622577483
JSAT,7.0710678119
JSAT,7
JSAT,6.0827625303
JSAT,5
JSAT,4
JSAT,4.1231056256
JSAT,3.1622776602
JSAT,3.1622776602
JSAT,2
JSAT,2.2360679775
JSAT,1
JSAT,1
JSAT,1
JSAT,2.2360679775
JSAT,1.4142135624
JSAT,10.1980390272
WEKA,8.2462112512
WEKA,14
WEKA,11.0453610172
WEKA,1
WEKA,3.1622776602
WEKA,2
WEKA,4.1231056256
WEKA,1
WEKA,1
WEKA,2
WEKA,1.4142135624
WEKA,2
WEKA,3
WEKA,0
WEKA,11.1803398875
WEKA,12.0415945788
WEKA,11.1803398875
WEKA,11
WEKA,9
WEKA,3.1622776602
WEKA,3.1622776602
WEKA,2
WEKA,4
WEKA,3
WEKA,1
WEKA,2.2360679775
WEKA,2.2360679775
WEKA,9.2195444573
WEKA,6
WEKA,1
WEKA,10.0498756211
WEKA,0
WEKA,3.1622776602
WEKA,2
WEKA,4.472135955
WEKA,1
WEKA,1.4142135624
WEKA,3.6055512755
WEKA,1.4142135624
WEKA,5.3851648071
WEKA,2
WEKA,3
WEKA,3.1622776602
WEKA,2
WEKA,0
WEKA,1.4142135624
WEKA,0
WEKA,1
WEKA,2.2360679775
WEKA,1.4142135624
WEKA,12.1655250606
