framework,cell_distance
JAVAML,8.2462112512
JAVAML,5.0990195136
JAVAML,5
JAVAML,2.2360679775
JAVAML,17.0293863659
JAVAML,1.4142135624
JAVAML,4.1231056256
JAVAML,15.0332963784
JAVAML,2.8284271247
JAVAML,4
JAVAML,3.1622776602
JAVAML,5
JAVAML,8
JAVAML,10.0498756211
JAVAML,11.1803398875
JAVAML,12.0415945788
JAVAML,11.1803398875
JAVAML,11.0453610172
JAVAML,1
JAVAML,4.472135955
JAVAML,5.3851648071
JAVAML,5
JAVAML,11.0453610172
JAVAML,3.1622776602
JAVAML,6
JAVAML,2
JAVAML,1.4142135624
JAVAML,6
JAVAML,6.3245553203
JAVAML,7
JAVAML,2.2360679775
JAVAML,0
JAVAML,9.0553851381
JAVAML,8
JAVAML,2.2360679775
JAVAML,3.6055512755
JAVAML,3
JAVAML,4.1231056256
JAVAML,1
JAVAML,3.6055512755
JAVAML,2
JAVAML,3.6055512755
JAVAML,3
JAVAML,1
JAVAML,6
JAVAML,1.4142135624
JAVAML,2
JAVAML,1
JAVAML,2.2360679775
JAVAML,3.1622776602
JAVAML,10.1980390272
JSAT,4.472135955
JSAT,2.2360679775
JSAT,7
JSAT,3
JSAT,6.0827625303
JSAT,2
JSAT,2.2360679775
JSAT,1.4142135624
JSAT,1
JSAT,4
JSAT,1
JSAT,14
JSAT,8
JSAT,12.0415945788
JSAT,22
JSAT,12
JSAT,11.0453610172
JSAT,11.0453610172
JSAT,4.1231056256
JSAT,3.1622776602
JSAT,2.2360679775
JSAT,2
JSAT,3.1622776602
JSAT,2
JSAT,3
JSAT,2
JSAT,8.0622577483
JSAT,13.0384048104
JSAT,10.1980390272
JSAT,11
JSAT,10.0498756211
JSAT,9.2195444573
JSAT,8.0622577483
JSAT,7
JSAT,8.0622577483
JSAT,7.0710678119
JSAT,7
JSAT,6.0827625303
JSAT,1.4142135624
JSAT,4.472135955
JSAT,4.472135955
JSAT,3.6055512755
JSAT,3
JSAT,2
JSAT,2.2360679775
JSAT,1
JSAT,1
JSAT,1
JSAT,1
JSAT,1
JSAT,10.1980390272
WEKA,2.2360679775
WEKA,4.1231056256
WEKA,6.3245553203
WEKA,2.2360679775
WEKA,3.1622776602
WEKA,1.4142135624
WEKA,1.4142135624
WEKA,16.0312195419
WEKA,1
WEKA,2.2360679775
WEKA,1
WEKA,5
WEKA,13.0384048104
WEKA,12.0415945788
WEKA,13
WEKA,12.0415945788
WEKA,12.1655250606
WEKA,11
WEKA,7.0710678119
WEKA,3.1622776602
WEKA,1
WEKA,2
WEKA,4.1231056256
WEKA,3.1622776602
WEKA,3
WEKA,2
WEKA,0
WEKA,1
WEKA,2
WEKA,0
WEKA,10.0498756211
WEKA,10.1980390272
WEKA,6.0827625303
WEKA,2
WEKA,2.2360679775
WEKA,3.1622776602
WEKA,3
WEKA,4.1231056256
WEKA,1.4142135624
WEKA,4
WEKA,0
WEKA,3.1622776602
WEKA,3.1622776602
WEKA,2
WEKA,2.2360679775
WEKA,1
WEKA,1
WEKA,1
WEKA,2.2360679775
WEKA,3.1622776602
WEKA,10.1980390272
