framework,cell_distance
JAVAML,15
JAVAML,10.0498756211
JAVAML,7
JAVAML,16.0312195419
JAVAML,4.1231056256
JAVAML,2.2360679775
JAVAML,17.0293863659
JAVAML,30
JAVAML,2.8284271247
JAVAML,5.3851648071
JAVAML,3
JAVAML,5
JAVAML,20.0997512422
JAVAML,12
JAVAML,19
JAVAML,19.0262975904
JAVAML,1
JAVAML,11.0453610172
JAVAML,22.0227155455
JAVAML,3.1622776602
JAVAML,2.2360679775
JAVAML,3
JAVAML,1.4142135624
JAVAML,6.3245553203
JAVAML,6
JAVAML,2
JAVAML,4.1231056256
JAVAML,9
JAVAML,10.1980390272
JAVAML,11
JAVAML,8.0622577483
JAVAML,0
JAVAML,13.0384048104
JAVAML,9.0553851381
JAVAML,2.2360679775
JAVAML,2
JAVAML,1
JAVAML,1
JAVAML,27.0185121722
JAVAML,3
JAVAML,0
JAVAML,17
JAVAML,3.6055512755
JAVAML,6
JAVAML,6.0827625303
JAVAML,1.4142135624
JAVAML,2
JAVAML,0
JAVAML,6
JAVAML,4
JAVAML,10
JSAT,12.0415945788
JSAT,10.0498756211
JSAT,23.0217288664
JSAT,16.0312195419
JSAT,1.4142135624
JSAT,1.4142135624
JSAT,16
JSAT,30
JSAT,1
JSAT,4
JSAT,4.1231056256
JSAT,5
JSAT,20.0997512422
JSAT,12.0415945788
JSAT,13
JSAT,13.0384048104
JSAT,12.1655250606
JSAT,11.0453610172
JSAT,10.0498756211
JSAT,11.0453610172
JSAT,2.2360679775
JSAT,9.0553851381
JSAT,3.1622776602
JSAT,6.3245553203
JSAT,3
JSAT,2
JSAT,9.0553851381
JSAT,9
JSAT,10.1980390272
JSAT,11
JSAT,10.0498756211
JSAT,10.1980390272
JSAT,14.0356688476
JSAT,15
JSAT,2.8284271247
JSAT,3.6055512755
JSAT,3.1622776602
JSAT,1
JSAT,27.0185121722
JSAT,2.2360679775
JSAT,2.8284271247
JSAT,3.6055512755
JSAT,1
JSAT,1.4142135624
JSAT,1
JSAT,2.2360679775
JSAT,1
JSAT,3.6055512755
JSAT,7
JSAT,3.1622776602
JSAT,2.2360679775
WEKA,15
WEKA,10.0498756211
WEKA,23.0217288664
WEKA,16.0312195419
WEKA,4.1231056256
WEKA,2.2360679775
WEKA,17
WEKA,30
WEKA,2.8284271247
WEKA,6.0827625303
WEKA,3
WEKA,5
WEKA,20.0997512422
WEKA,12
WEKA,19
WEKA,19.0262975904
WEKA,2.8284271247
WEKA,11.0453610172
WEKA,10.0498756211
WEKA,7.2801098893
WEKA,2.2360679775
WEKA,9
WEKA,3.1622776602
WEKA,6.3245553203
WEKA,5
WEKA,2
WEKA,4.1231056256
WEKA,4
WEKA,2.2360679775
WEKA,6
WEKA,3
WEKA,5.3851648071
WEKA,4.1231056256
WEKA,3
WEKA,2.2360679775
WEKA,7
WEKA,3
WEKA,4.1231056256
WEKA,26.0192236625
WEKA,4
WEKA,0
WEKA,3.6055512755
WEKA,2
WEKA,1.4142135624
WEKA,1
WEKA,0
WEKA,6.0827625303
WEKA,1
WEKA,6
WEKA,3.1622776602
WEKA,2.2360679775
