framework,cell_distance
JAVAML,7
JAVAML,7.0710678119
JAVAML,2.8284271247
JAVAML,14
JAVAML,3.1622776602
JAVAML,3.6055512755
JAVAML,6.0827625303
JAVAML,8.0622577483
JAVAML,6
JAVAML,3
JAVAML,2.8284271247
JAVAML,4.1231056256
JAVAML,2.8284271247
JAVAML,1.4142135624
JAVAML,4.472135955
JAVAML,2
JAVAML,8
JAVAML,6
JAVAML,4.1231056256
JAVAML,2.8284271247
JAVAML,2.2360679775
JAVAML,0
JAVAML,2.2360679775
JAVAML,2.8284271247
JAVAML,3
JAVAML,10.1980390272
JAVAML,4.1231056256
JAVAML,2
JAVAML,5.3851648071
JAVAML,1
JAVAML,1
JAVAML,8.2462112512
JAVAML,7
JAVAML,15.1327459504
JAVAML,2
JAVAML,0
JAVAML,5
JAVAML,5.0990195136
JAVAML,5
JAVAML,2
JAVAML,3.6055512755
JAVAML,1
JAVAML,3.1622776602
JAVAML,4.1231056256
JAVAML,2.2360679775
JAVAML,6.0827625303
JAVAML,0
JAVAML,1
JAVAML,2
JAVAML,3.1622776602
JAVAML,5
JSAT,6.0827625303
JSAT,1
JSAT,1
JSAT,13.152946438
JSAT,3.1622776602
JSAT,1.4142135624
JSAT,1.4142135624
JSAT,15.0332963784
JSAT,6.3245553203
JSAT,1
JSAT,3
JSAT,0
JSAT,1.4142135624
JSAT,3.1622776602
JSAT,1.4142135624
JSAT,9.0553851381
JSAT,1.4142135624
JSAT,2.8284271247
JSAT,1
JSAT,2.2360679775
JSAT,2
JSAT,6
JSAT,5.0990195136
JSAT,2.2360679775
JSAT,1
JSAT,3.6055512755
JSAT,0
JSAT,11.0453610172
JSAT,3.1622776602
JSAT,2
JSAT,0
JSAT,2.8284271247
JSAT,1.4142135624
JSAT,1
JSAT,4
JSAT,3
JSAT,4.1231056256
JSAT,5
JSAT,2.2360679775
JSAT,2.8284271247
JSAT,1.4142135624
JSAT,2.2360679775
JSAT,3.1622776602
JSAT,1
JSAT,2.2360679775
JSAT,1.4142135624
JSAT,2
JSAT,2
JSAT,1
JSAT,2.2360679775
JSAT,6.3245553203
WEKA,1.4142135624
WEKA,0
WEKA,2.8284271247
WEKA,13.152946438
WEKA,2
WEKA,3
WEKA,5.0990195136
WEKA,12.0415945788
WEKA,6.3245553203
WEKA,1
WEKA,2.8284271247
WEKA,0
WEKA,1.4142135624
WEKA,1.4142135624
WEKA,11
WEKA,1
WEKA,6
WEKA,2.8284271247
WEKA,1.4142135624
WEKA,2.2360679775
WEKA,4
WEKA,4
WEKA,4
WEKA,2.2360679775
WEKA,1
WEKA,1
WEKA,0
WEKA,6
WEKA,3.1622776602
WEKA,2.8284271247
WEKA,1.4142135624
WEKA,6.3245553203
WEKA,5.0990195136
WEKA,2.2360679775
WEKA,4
WEKA,3
WEKA,4.1231056256
WEKA,1
WEKA,3.1622776602
WEKA,2.8284271247
WEKA,3.6055512755
WEKA,3
WEKA,2
WEKA,1
WEKA,2.2360679775
WEKA,1
WEKA,1.4142135624
WEKA,1
WEKA,1
WEKA,2.2360679775
WEKA,6.3245553203
