framework,cell_distance
JAVAML,3.6055512755
JAVAML,6
JAVAML,0
JAVAML,15.0332963784
JAVAML,3.1622776602
JAVAML,1.4142135624
JAVAML,6.0827625303
JAVAML,9.0553851381
JAVAML,12.0415945788
JAVAML,3
JAVAML,3.6055512755
JAVAML,2.8284271247
JAVAML,3
JAVAML,1.4142135624
JAVAML,7
JAVAML,5.0990195136
JAVAML,3.6055512755
JAVAML,5.3851648071
JAVAML,8.0622577483
JAVAML,3.6055512755
JAVAML,2
JAVAML,2
JAVAML,5
JAVAML,3
JAVAML,3
JAVAML,7.2801098893
JAVAML,4.1231056256
JAVAML,11.0453610172
JAVAML,2
JAVAML,2.2360679775
JAVAML,2
JAVAML,8.2462112512
JAVAML,4.1231056256
JAVAML,1
JAVAML,1
JAVAML,1.4142135624
JAVAML,1
JAVAML,1
JAVAML,3.1622776602
JAVAML,3.1622776602
JAVAML,2
JAVAML,1
JAVAML,3.1622776602
JAVAML,2
JAVAML,1
JAVAML,6.0827625303
JAVAML,5.0990195136
JAVAML,1
JAVAML,2.2360679775
JAVAML,3.1622776602
JAVAML,4
JSAT,3.6055512755
JSAT,1
JSAT,4
JSAT,13.152946438
JSAT,3.1622776602
JSAT,1.4142135624
JSAT,6.0827625303
JSAT,15.0332963784
JSAT,1
JSAT,1
JSAT,2
JSAT,0
JSAT,2.8284271247
JSAT,1.4142135624
JSAT,1.4142135624
JSAT,9.0553851381
JSAT,5
JSAT,2.8284271247
JSAT,1
JSAT,3.1622776602
JSAT,2.2360679775
JSAT,6
JSAT,4
JSAT,2.2360679775
JSAT,2.8284271247
JSAT,1
JSAT,0
JSAT,18.1107702763
JSAT,2.2360679775
JSAT,2
JSAT,1
JSAT,2.2360679775
JSAT,6.0827625303
JSAT,2
JSAT,4
JSAT,7.0710678119
JSAT,4.1231056256
JSAT,6
JSAT,2.2360679775
JSAT,2.8284271247
JSAT,1.4142135624
JSAT,1
JSAT,3.1622776602
JSAT,2.2360679775
JSAT,2.2360679775
JSAT,2.2360679775
JSAT,0
JSAT,1
JSAT,1
JSAT,1
JSAT,6.3245553203
WEKA,2
WEKA,5
WEKA,2
WEKA,12
WEKA,3.1622776602
WEKA,1.4142135624
WEKA,8
WEKA,16.0312195419
WEKA,6.3245553203
WEKA,1.4142135624
WEKA,1.4142135624
WEKA,0
WEKA,1.4142135624
WEKA,1.4142135624
WEKA,1.4142135624
WEKA,1.4142135624
WEKA,8.2462112512
WEKA,2.8284271247
WEKA,4.1231056256
WEKA,1
WEKA,2.2360679775
WEKA,5.0990195136
WEKA,4
WEKA,2.8284271247
WEKA,3
WEKA,2
WEKA,0
WEKA,1
WEKA,5.3851648071
WEKA,1.4142135624
WEKA,1
WEKA,1
WEKA,6.0827625303
WEKA,1
WEKA,4
WEKA,5.3851648071
WEKA,5.0990195136
WEKA,1
WEKA,4.1231056256
WEKA,1
WEKA,3.6055512755
WEKA,1
WEKA,2
WEKA,2.2360679775
WEKA,2.2360679775
WEKA,1.4142135624
WEKA,1.4142135624
WEKA,1
WEKA,1
WEKA,2.2360679775
WEKA,6.3245553203
