framework,cell_distance
JAVAML,3.6055512755
JAVAML,3.1622776602
JAVAML,2
JAVAML,15.1327459504
JAVAML,6.0827625303
JAVAML,2
JAVAML,2.2360679775
JAVAML,7.0710678119
JAVAML,1
JAVAML,1
JAVAML,2
JAVAML,4.1231056256
JAVAML,2
JAVAML,6.0827625303
JAVAML,2.8284271247
JAVAML,9.0553851381
JAVAML,9.2195444573
JAVAML,2.2360679775
JAVAML,6.0827625303
JAVAML,2
JAVAML,2
JAVAML,1.4142135624
JAVAML,4.1231056256
JAVAML,3.6055512755
JAVAML,3
JAVAML,2
JAVAML,1
JAVAML,1.4142135624
JAVAML,2.2360679775
JAVAML,2
JAVAML,3.1622776602
JAVAML,2
JAVAML,2.2360679775
JAVAML,12
JAVAML,2.2360679775
JAVAML,3.1622776602
JAVAML,1
JAVAML,4.1231056256
JAVAML,3.1622776602
JAVAML,2
JAVAML,2
JAVAML,1
JAVAML,3.1622776602
JAVAML,2
JAVAML,1
JAVAML,1.4142135624
JAVAML,1.4142135624
JAVAML,1
JAVAML,2
JAVAML,1.4142135624
JAVAML,9.2195444573
JSAT,3.6055512755
JSAT,1
JSAT,4
JSAT,2
JSAT,3.1622776602
JSAT,2
JSAT,1.4142135624
JSAT,15.0332963784
JSAT,1
JSAT,1
JSAT,2
JSAT,5
JSAT,4.472135955
JSAT,3.1622776602
JSAT,1.4142135624
JSAT,9.0553851381
JSAT,2
JSAT,2.8284271247
JSAT,1
JSAT,3.1622776602
JSAT,2.2360679775
JSAT,5.0990195136
JSAT,5
JSAT,2.2360679775
JSAT,3
JSAT,2
JSAT,5.0990195136
JSAT,9
JSAT,2
JSAT,2
JSAT,0
JSAT,10.1980390272
JSAT,2.2360679775
JSAT,3
JSAT,2.2360679775
JSAT,2
JSAT,1
JSAT,1
JSAT,2.2360679775
JSAT,4.472135955
JSAT,0
JSAT,3
JSAT,3.6055512755
JSAT,1.4142135624
JSAT,1
JSAT,2.2360679775
JSAT,0
JSAT,2
JSAT,1
JSAT,1.4142135624
JSAT,6.3245553203
WEKA,2
WEKA,4.1231056256
WEKA,1
WEKA,7
WEKA,3.1622776602
WEKA,1
WEKA,3.1622776602
WEKA,15.0332963784
WEKA,5.0990195136
WEKA,1
WEKA,2
WEKA,5
WEKA,2
WEKA,1.4142135624
WEKA,13
WEKA,11
WEKA,12.1655250606
WEKA,8.2462112512
WEKA,5.0990195136
WEKA,7.0710678119
WEKA,6
WEKA,5.0990195136
WEKA,4.1231056256
WEKA,2.2360679775
WEKA,3
WEKA,2
WEKA,0
WEKA,6
WEKA,2
WEKA,4.472135955
WEKA,1
WEKA,2
WEKA,2.2360679775
WEKA,6
WEKA,2.2360679775
WEKA,6
WEKA,4.1231056256
WEKA,4.1231056256
WEKA,2.2360679775
WEKA,2.8284271247
WEKA,0
WEKA,3.1622776602
WEKA,3.1622776602
WEKA,2
WEKA,2.2360679775
WEKA,1
WEKA,1
WEKA,1
WEKA,1
WEKA,1.4142135624
WEKA,1
