framework,cell_distance
JAVAML,3.6055512755
JAVAML,3.1622776602
JAVAML,2.2360679775
JAVAML,10.1980390272
JAVAML,6.0827625303
JAVAML,1
JAVAML,3.1622776602
JAVAML,11.0453610172
JAVAML,6
JAVAML,2.2360679775
JAVAML,2
JAVAML,4
JAVAML,5
JAVAML,1.4142135624
JAVAML,5
JAVAML,2.2360679775
JAVAML,9.2195444573
JAVAML,2.2360679775
JAVAML,8.0622577483
JAVAML,2.8284271247
JAVAML,2.2360679775
JAVAML,1.4142135624
JAVAML,5.0990195136
JAVAML,2
JAVAML,3
JAVAML,2.2360679775
JAVAML,4.1231056256
JAVAML,9
JAVAML,3
JAVAML,8.2462112512
JAVAML,6.0827625303
JAVAML,4.472135955
JAVAML,1
JAVAML,3
JAVAML,5
JAVAML,0
JAVAML,1
JAVAML,1
JAVAML,1.4142135624
JAVAML,1
JAVAML,3.6055512755
JAVAML,1
JAVAML,3.1622776602
JAVAML,1.4142135624
JAVAML,2.2360679775
JAVAML,1.4142135624
JAVAML,2
JAVAML,1
JAVAML,2
JAVAML,3
JAVAML,2.8284271247
JSAT,3.6055512755
JSAT,1
JSAT,1
JSAT,13.152946438
JSAT,2
JSAT,2
JSAT,1.4142135624
JSAT,12.0415945788
JSAT,1
JSAT,2.2360679775
JSAT,3
JSAT,5
JSAT,4.472135955
JSAT,4.1231056256
JSAT,9
JSAT,9.0553851381
JSAT,3.6055512755
JSAT,2.8284271247
JSAT,2.2360679775
JSAT,3.1622776602
JSAT,2.2360679775
JSAT,4.472135955
JSAT,0
JSAT,2.2360679775
JSAT,3
JSAT,2
JSAT,1.4142135624
JSAT,9
JSAT,2.2360679775
JSAT,2
JSAT,1
JSAT,10.1980390272
JSAT,1.4142135624
JSAT,3
JSAT,4
JSAT,2
JSAT,1
JSAT,1
JSAT,2.2360679775
JSAT,3.6055512755
JSAT,0
JSAT,3.6055512755
JSAT,3.1622776602
JSAT,1
JSAT,2.2360679775
JSAT,1
JSAT,3
JSAT,1
JSAT,1
JSAT,2.2360679775
JSAT,2.8284271247
WEKA,3
WEKA,0
WEKA,1
WEKA,2.2360679775
WEKA,1.4142135624
WEKA,1
WEKA,3.1622776602
WEKA,17.0293863659
WEKA,1
WEKA,2.2360679775
WEKA,2.8284271247
WEKA,5
WEKA,4.472135955
WEKA,4.1231056256
WEKA,11
WEKA,11.0453610172
WEKA,4.472135955
WEKA,2.8284271247
WEKA,7.0710678119
WEKA,7.2801098893
WEKA,4
WEKA,5.0990195136
WEKA,4.1231056256
WEKA,3.1622776602
WEKA,3
WEKA,2
WEKA,0
WEKA,6
WEKA,3.1622776602
WEKA,3.1622776602
WEKA,1
WEKA,8.2462112512
WEKA,6.0827625303
WEKA,2
WEKA,2.2360679775
WEKA,2
WEKA,4.1231056256
WEKA,4
WEKA,2.2360679775
WEKA,2.8284271247
WEKA,0
WEKA,1
WEKA,2
WEKA,1
WEKA,2.2360679775
WEKA,1
WEKA,2.2360679775
WEKA,1
WEKA,5
WEKA,3.1622776602
WEKA,6.3245553203
